IN_Deal,Report_Source,IN_Trade_ID,IN_MT_MASTER_DATE_TIME,IN_MT_Date,IN_MT_Time,IN_MT_Day,IN_MT_Month,IN_CST_Date_OP_01,IN_CST_Time_OP_01,IN_CST_Day_OP_01,IN_CST_Month_OP_01,IN_Segment_15M_OP_01,IN_Segment_30M_OP_01,IN_Segment_01H_OP_01,IN_Segment_02H_OP_01,IN_Segment_03H_OP_01,IN_Segment_04H_OP_01,IN_Session_Name_OP_02,Strategy_ID_OP_03,Strategy_Version_ID_OP_03,Optimization_ID_OP_03,Report_Broker_OP_03,Symbol_OP_03,Chart_TF_OP_01,IN_Order_Type_OP_01,IN_Order_Direction,Volume_OP_03,IN_Symbol_Price_OP_03,IN_Balance_OP_01,OUT_Profit_OP_01,OUT_Balance_OP_01,OUT_Trade_ID,OUT_Deal,OUT_CST_Date_OP_03,OUT_CST_Time_OP_03,OUT_CST_Day_OP_03,OUT_CST_Month_OP_03,OUT_Segment_15M_OP_03,OUT_Segment_30M_OP_03,OUT_Segment_01H_OP_03,OUT_Segment_02H_OP_03,OUT_Segment_03H_OP_03,OUT_Segment_04H_OP_03,OUT_Session_Name_OP_03,OUT_Order_Type,OUT_Order_Direction,OUT_Symbol_Price_OP_01,OUT_Commission,OUT_Swap,OUT_Comment,OUT_Symbol,Trade_Result,Trade_Direction,Trade_Duration_Minutes,Trade_ROI_Percentage,Trade_Risk_Reward_Ratio,Trade_MAE,Trade_MFE,EA_Entry_Quality,EA_Entry_Symbol,EA_Entry_Confluence,EA_Entry_Momentum,EA_Entry_Speed,EA_Entry_Acceleration,EA_Entry_Entropy,EA_Entry_Jerk,EA_Entry_PhysicsScore,EA_Entry_SpeedSlope,EA_Entry_AccelerationSlope,EA_Entry_MomentumSlope,EA_Entry_ConfluenceSlope,EA_Entry_JerkSlope,EA_Entry_Zone,EA_Entry_Regime,EA_Entry_Spread,EA_ExitReason,EA_Exit_Symbol,EA_Exit_Quality,EA_Exit_Confluence,EA_Exit_Momentum,EA_Exit_Speed,EA_Exit_Acceleration,EA_Exit_Entropy,EA_Exit_Jerk,EA_Exit_PhysicsScore,EA_Exit_SpeedSlope,EA_Exit_AccelerationSlope,EA_Exit_MomentumSlope,EA_Exit_ConfluenceSlope,EA_Exit_JerkSlope,EA_Exit_Zone,EA_Exit_Regime,EA_Exit_Spread,EA_Profit,EA_ProfitPercent,EA_Pips,EA_HoldTimeBars,EA_HoldTimeMinutes,EA_RiskPercent,EA_RRatio,EA_MFE,EA_MAE,EA_MFE_Percent,EA_MAE_Percent,EA_MFE_Pips,EA_MAE_Pips,EA_MFE_TimeBars,EA_MAE_TimeBars,EA_MFEUtilization,EA_MAEImpact,EA_ExcursionEfficiency,EA_RunUp_Price,EA_RunUp_Pips,EA_RunUp_Percent,EA_RunUp_TimeBars,EA_RunDown_Price,EA_RunDown_Pips,EA_RunDown_Percent,EA_RunDown_TimeBars,EA_ExitQualityClass,EA_EarlyExitOpportunityCost,EA_PhysicsScoreDecay,EA_SpeedDecay,EA_SpeedSlopeDecay,EA_ConfluenceDecay,EA_ZoneTransitioned,Signal_Entry_Matched,Signal_Entry_Timestamp,Signal_Entry_TimeDelta,Signal_Entry_Quality,Signal_Entry_Confluence,Signal_Entry_Speed,Signal_Entry_Acceleration,Signal_Entry_Momentum,Signal_Entry_Entropy,Signal_Entry_Jerk,Signal_Entry_PhysicsScore,Signal_Entry_SpeedSlope,Signal_Entry_AccelerationSlope,Signal_Entry_MomentumSlope,Signal_Entry_ConfluenceSlope,Signal_Entry_JerkSlope,Signal_Entry_Zone,Signal_Entry_Regime,Signal_Entry_PhysicsPass,Signal_Entry_RejectReason,Signal_Exit_Matched,Signal_Exit_Timestamp,Signal_Exit_TimeDelta,Signal_Exit_Quality,Signal_Exit_Confluence,Signal_Exit_Speed,Signal_Exit_Acceleration,Signal_Exit_Momentum,Signal_Exit_Entropy,Signal_Exit_Jerk,Signal_Exit_PhysicsScore,Signal_Exit_SpeedSlope,Signal_Exit_AccelerationSlope,Signal_Exit_MomentumSlope,Signal_Exit_ConfluenceSlope,Signal_Exit_JerkSlope,Signal_Exit_Zone,Signal_Exit_Regime,Signal_Exit_PhysicsPass,Signal_Exit_RejectReason,DataQuality,ProcessingTimestamp,SourceFiles
2,MT5_Backtest,2,2025.10.01 03:55:00,2025-10-01,03:55:00,Wednesday,October,2025-09-30,19:55:00,Tuesday,September,15-080,30-040,1h-020,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,buy,in,0.99,24619.6,10,-3.17,9,3,3,2025-09-30,19:55:01,Tuesday,September,15-080,30-040,1h-020,2h-010,3h-007,4h-005,After Hours,sell,out,24616.4,0,0,,NAS100,Loss,Long,0,-31.7,-0.03,24614.9,24619.6,81,NAS100,60,45.22,1244.29,3399.6,0,104.63,89.76,3069.15,-1924.4,28.34,-10,-1043.96,BULL,NORMAL,450,MANUAL,NAS100,70.33,80,-69.42,-955.15,-171.13,0,204.21,34.37,-914.86,-238.27,-44.87,10,4.47,UNKNOWN,UNKNOWN,390,-3.17,-0.03,-3.2,1,0,1,-0.03,24619.6,24614.9,0,-0.05,0,-4.7,0,1,-0.01,0,0.5,24620.5,4.1,0.02,11,24571.2,-45.2,-0.18,35,Late,0,55.39,2199.43,3984.01,-20,1,1,2025.10.01 03:55,0,81,60,1244.29,3399.6,45.22,0,104.63,89.76,3069.15,-1924.4,28.34,-10,-1043.96,BULL,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-27T22:18:06.195Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
4,MT5_Backtest,4,2025.10.01 04:00:00,2025-10-01,04:00:00,Wednesday,October,2025-09-30,20:00:00,Tuesday,September,15-081,30-041,1h-021,2h-011,3h-007,4h-006,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,sell,in,0.99,24603.4,9,-10.1,9,5,5,2025-09-30,21:30:00,Tuesday,September,15-087,30-044,1h-022,2h-011,3h-008,4h-006,After Hours,buy,out,24613.6,0,0,,NAS100,Loss,Short,90,-112.22222222222223,-0.1,24624.9,24597.8,81,NAS100,80,-137.91,-1988.8,-2016.79,0,-1231.41,16.05,1170.9,-2920.38,18.56,0,-1030.25,BEAR,NORMAL,450,MANUAL,NAS100,86.33,60,-105.68,-6376.18,1690.28,0,878.38,56.32,-1950.78,-921.42,-11.49,0,-157.33,UNKNOWN,UNKNOWN,400,-10.1,-0.1,-10.2,19,90,1,-0.1,24597.8,24624.9,0.06,-0.22,5.6,-21.5,3,10,-0.04,0,0.5,24553.5,60.1,-0.24,49,24613.6,0,0,0,Good,0,-40.27,4387.38,3121.69,20,1,1,2025.10.01 04:00,0,81,80,-1988.8,-2016.79,-137.91,0,-1231.41,16.05,1170.9,-2920.38,18.56,0,-1030.25,BEAR,NORMAL,,PASS,1,2025.10.01 05:30,0,81,60,239.3,3507.76,28.1,0,1041.85,88.74,1049.93,1566.42,39.2,0,286.69,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-27T22:18:06.196Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
6,MT5_Backtest,6,2025.10.01 05:30:00,2025-10-01,05:30:00,Wednesday,October,2025-09-30,21:30:00,Tuesday,September,15-087,30-044,1h-022,2h-011,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,buy,in,0.99,24613.6,9,-4.95,9,7,7,2025-09-30,21:30:01,Tuesday,September,15-087,30-044,1h-022,2h-011,3h-008,4h-006,After Hours,sell,out,24608.6,0,0,,NAS100,Loss,Long,0,-55.00000000000001,-0.05,24608.6,24613.6,81,NAS100,60,28.1,239.3,3507.76,0,1041.85,88.74,1049.93,1566.42,39.2,0,286.69,BULL,NORMAL,450,MANUAL,NAS100,86.33,60,-105.68,-6376.18,1690.28,0,878.38,56.32,-1950.78,-921.42,-11.49,0,-157.33,UNKNOWN,UNKNOWN,400,-4.95,-0.05,-5,1,0,1,-0.05,24613.6,24608.6,0,-0.05,0,-5,0,1,-0.02,0,0.5,24608.6,0,0,0,24553.5,-55.1,-0.22,49,Late,0,32.42,6615.48,3000.72,0,1,1,2025.10.01 05:30,0,81,60,239.3,3507.76,28.1,0,1041.85,88.74,1049.93,1566.42,39.2,0,286.69,BULL,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-27T22:18:06.197Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
8,MT5_Backtest,8,2025.10.01 05:35:00,2025-10-01,05:35:00,Wednesday,October,2025-09-30,21:35:00,Tuesday,September,15-087,30-044,1h-022,2h-011,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,sell,in,0.99,24598.2,9,100.88,10,9,9,2025-10-01,01:47:35,Wednesday,October,15-008,30-004,1h-002,2h-001,3h-001,4h-001,After Hours,buy,out,24496.3,0,0,tp 24498.2,NAS100,Win,Short,252,1120.8888888888887,1,24604.4,24498.3,81,NAS100,80,-133.67,-2098.34,-725.32,0,-230.9,16.05,763.49,-440.68,26.09,0,-368.68,BEAR,NORMAL,440,TP,NAS100,70.33,60,-143.09,-4850.89,2132.75,0,1064.97,55.52,-983.98,1681.04,11.18,0,572.66,UNKNOWN,UNKNOWN,390,100.88,1,101.9,51,252,1,1,24498.3,24604.4,1,-0.06,99.9,-6.2,51,1,0.41,24389.77,0.5,24443.3,53,-0.22,3,24574.2,-77.9,0.32,33,Early,-48.9,-39.47,2752.55,1747.47,20,1,1,2025.10.01 05:35,0,81,80,-2098.34,-725.32,-133.67,0,-230.9,16.05,763.49,-440.68,26.09,0,-368.68,BEAR,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-27T22:18:06.198Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
10,MT5_Backtest,10,2025.10.01 12:15:00,2025-10-01,12:15:00,Wednesday,October,2025-10-01,04:15:00,Wednesday,October,15-018,30-009,1h-005,2h-003,3h-002,4h-002,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,buy,in,1,24548.4,10,45,10,11,11,2025-10-01,07:15:00,Wednesday,October,15-030,30-015,1h-008,2h-004,3h-003,4h-002,After Hours,sell,out,24593.4,0,0,,NAS100,Win,Long,180,450,0.44,24528.9,24611.7,81,NAS100,80,269.62,7788.7,564.71,0,373.74,96.05,56.31,2839.2,-1.55,0,998.12,BULL,NORMAL,400,MANUAL,NAS100,70.33,60,149.01,5061.01,-206.82,0,21.32,58.62,-273.4,-707.69,-88.65,0,-258.52,UNKNOWN,UNKNOWN,340,45,0.44,45,37,180,1,0.44,24611.7,24528.9,0.63,-0.2,63.3,-19.5,34,18,0.18,54508.67,0.5,24756.7,163.3,0.66,49,24532.7,-60.7,-0.25,20,Early,118.3,37.43,2727.69,329.71,20,1,1,2025.10.01 12:15,0,81,80,7788.7,564.71,269.62,0,373.74,96.05,56.31,2839.2,-1.55,0,998.12,BULL,NORMAL,,PASS,1,2025.10.01 15:15,0,81,60,-104.88,-3619.06,-50.46,0,-444.86,19.78,-2556.76,-961.41,-26.97,0,-52.69,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-27T22:18:06.199Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
12,MT5_Backtest,12,2025.10.01 15:15:00,2025-10-01,15:15:00,Wednesday,October,2025-10-01,07:15:00,Wednesday,October,15-030,30-015,1h-008,2h-004,3h-003,4h-002,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,sell,in,1.01,24593.4,10,-4.65,10,13,13,2025-10-01,07:15:02,Wednesday,October,15-030,30-015,1h-008,2h-004,3h-003,4h-002,After Hours,buy,out,24598,0,0,,NAS100,Loss,Short,0,-46.5,-0.05,24598,24593.4,81,NAS100,60,-50.46,-104.88,-3619.06,0,-444.86,19.78,-2556.76,-961.41,-26.97,0,-52.69,BEAR,NORMAL,450,MANUAL,NAS100,70.33,60,149.01,5061.01,-206.82,0,21.32,58.62,-273.4,-707.69,-88.65,0,-258.52,UNKNOWN,UNKNOWN,340,-4.65,-0.05,-4.6,1,0,1,-0.05,24593.4,24598,0,-0.05,0,-4.6,0,1,-0.02,0,0.5,24532.7,65.3,-0.27,20,24756.7,-158.7,0.65,49,Late,0,-38.83,-5165.88,-2283.36,0,1,1,2025.10.01 15:15,0,81,60,-104.88,-3619.06,-50.46,0,-444.86,19.78,-2556.76,-961.41,-26.97,0,-52.69,BEAR,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-27T22:18:06.200Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
14,MT5_Backtest,14,2025.10.01 21:00:00,2025-10-01,21:00:00,Wednesday,October,2025-10-01,13:00:00,Wednesday,October,15-053,30-027,1h-014,2h-007,3h-005,4h-004,Floor Session,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,buy,in,1.01,24793.4,10,71.71,10,15,15,2025-10-01,23:25:02,Wednesday,October,15-094,30-047,1h-024,2h-012,3h-008,4h-006,After Hours,sell,out,24864.4,0,-4.39,,NAS100,Win,Long,625,717.0999999999999,0.7,24779.4,24887.8,81,NAS100,80,187.2,2480.87,2544.64,0,1011.36,96.05,135.62,3182.38,4.03,10,983.67,BULL,LOW,350,MANUAL,NAS100,78.33,80,319.65,7673.51,1539.17,0,408.51,95.92,-1130.1,-2473.08,-143.14,-10,-635.94,UNKNOWN,UNKNOWN,400,71.71,0.7,71,114,625,1,0.7,24887.8,24779.4,0.94,-0.14,94.4,-14,84,1,0.29,34555.01,0.5,24923.8,59.4,0.24,48,24863.6,-0.8,0,1,Early,-11.6,0.13,-5192.64,1265.71,0,1,1,2025.10.01 21:00,0,81,80,2480.87,2544.64,187.2,0,1011.36,96.05,135.62,3182.38,4.03,10,983.67,BULL,LOW,,PASS,1,2025.10.02 07:25,0.03333333333333333,81,60,-2157.78,-6684.57,-21.58,0,-1699.03,17.76,-2326.24,-2507.67,-36.93,-10,-440.7,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-27T22:18:06.201Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
16,MT5_Backtest,16,2025.10.02 07:25:03,2025-10-02,07:25:03,Thursday,October,2025-10-01,23:25:03,Wednesday,October,15-094,30-047,1h-024,2h-012,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,sell,in,1.01,24864.4,10,-4.24,10,17,17,2025-10-01,23:25:03,Wednesday,October,15-094,30-047,1h-024,2h-012,3h-008,4h-006,After Hours,buy,out,24868.6,0,0,,NAS100,Loss,Short,0,-42.400000000000006,-0.04,24868.6,24864.4,81,NAS100,60,-21.58,-2157.78,-6684.57,0,-1699.03,17.76,-2326.24,-2507.67,-36.93,-10,-440.7,BEAR,NORMAL,440,MANUAL,NAS100,78.33,80,319.65,7673.51,1539.17,0,408.51,95.92,-1130.1,-2473.08,-143.14,-10,-635.94,UNKNOWN,UNKNOWN,400,-4.24,-0.04,-4.2,1,0,1,-0.04,24864.4,24868.6,0,-0.04,0,-4.2,0,1,-0.02,0,0.5,24863.6,5,-0.02,1,24923.8,-55.2,0.22,48,Late,0,-78.16,-9831.29,-1196.14,-20,1,1,2025.10.02 07:25,0.05,81,60,-2157.78,-6684.57,-21.58,0,-1699.03,17.76,-2326.24,-2507.67,-36.93,-10,-440.7,BEAR,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-27T22:18:06.202Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
18,MT5_Backtest,18,2025.10.02 07:45:06,2025-10-02,07:45:06,Thursday,October,2025-10-01,23:45:06,Wednesday,October,15-096,30-048,1h-024,2h-012,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,buy,in,1.01,24879,10,-1.11,10,19,19,2025-10-02,00:30:00,Thursday,October,15-003,30-002,1h-001,2h-001,3h-001,4h-001,After Hours,sell,out,24877.9,0,0,,NAS100,Loss,Long,44,-11.100000000000001,-0.01,24871.8,24886.9,86.33,NAS100,80,46.82,271.75,413.07,0,143.43,93.13,958.16,2583.17,26.87,-20,683.39,BULL,NORMAL,440,MANUAL,NAS100,62.33,60,-179.8,-5125.96,-3621.79,0,-600.36,12.12,-487.61,-808.6,-39.89,-10,-299.01,UNKNOWN,UNKNOWN,390,-1.11,-0.01,-1.1,10,44,1,-0.01,24886.9,24871.8,0.08,-0.07,7.9,-7.2,6,2,0,0,0.5,24928.1,50.2,0.2,46,24864.8,-13.1,-0.05,19,Late,0,81.01,5397.72,1445.77,20,1,1,2025.10.02 07:45,0.1,86.33,80,271.75,413.07,46.82,0,143.43,93.13,958.16,2583.17,26.87,-20,683.39,BULL,NORMAL,,PASS,1,2025.10.02 08:30,0,86.33,60,-482.13,-1072.37,-26.65,0,-24.54,23.38,-1440.66,-391.39,-26.53,10,67.15,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-27T22:18:06.202Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
20,MT5_Backtest,20,2025.10.02 08:30:01,2025-10-02,08:30:01,Thursday,October,2025-10-02,00:30:01,Thursday,October,15-003,30-002,1h-001,2h-001,3h-001,4h-001,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,sell,in,1.01,24877.9,10,-4.24,10,21,21,2025-10-02,00:30:01,Thursday,October,15-003,30-002,1h-001,2h-001,3h-001,4h-001,After Hours,buy,out,24882.1,0,0,,NAS100,Loss,Short,0,-42.400000000000006,-0.04,24882.1,24877.9,86.33,NAS100,60,-26.65,-482.13,-1072.37,0,-24.54,23.38,-1440.66,-391.39,-26.53,10,67.15,BEAR,NORMAL,400,MANUAL,NAS100,62.33,60,-179.8,-5125.96,-3621.79,0,-600.36,12.12,-487.61,-808.6,-39.89,-10,-299.01,UNKNOWN,UNKNOWN,390,-4.24,-0.04,-4.2,1,0,1,-0.04,24877.9,24882.1,0,-0.04,0,-4.2,0,1,-0.02,0,0.5,24864.8,17.3,-0.07,19,24928.1,-46,0.18,46,Late,0,11.26,4643.83,-953.06,0,1,1,2025.10.02 08:30,0.016666666666666666,86.33,60,-482.13,-1072.37,-26.65,0,-24.54,23.38,-1440.66,-391.39,-26.53,10,67.15,BEAR,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-27T22:18:06.203Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
