IN_Deal,Report_Source,IN_Trade_ID,IN_MT_MASTER_DATE_TIME,IN_MT_Date,IN_MT_Time,IN_MT_Day,IN_MT_Month,IN_CST_Date_OP_01,IN_CST_Time_OP_01,IN_CST_Day_OP_01,IN_CST_Month_OP_01,IN_Segment_15M_OP_01,IN_Segment_30M_OP_01,IN_Segment_01H_OP_01,IN_Segment_02H_OP_01,IN_Segment_03H_OP_01,IN_Segment_04H_OP_01,IN_Session_Name_OP_02,Strategy_ID_OP_03,Strategy_Version_ID_OP_03,Optimization_ID_OP_03,Report_Broker_OP_03,Symbol_OP_03,Chart_TF_OP_01,IN_Order_Type_OP_01,IN_Order_Direction,Volume_OP_03,IN_Symbol_Price_OP_03,IN_Balance_OP_01,OUT_Profit_OP_01,OUT_Balance_OP_01,OUT_Trade_ID,OUT_Deal,OUT_CST_Date_OP_03,OUT_CST_Time_OP_03,OUT_CST_Day_OP_03,OUT_CST_Month_OP_03,OUT_Segment_15M_OP_03,OUT_Segment_30M_OP_03,OUT_Segment_01H_OP_03,OUT_Segment_02H_OP_03,OUT_Segment_03H_OP_03,OUT_Segment_04H_OP_03,OUT_Session_Name_OP_03,OUT_Order_Type,OUT_Order_Direction,OUT_Symbol_Price_OP_01,OUT_Commission,OUT_Swap,OUT_Comment,OUT_Symbol,Trade_Result,Trade_Direction,Trade_Duration_Minutes,Trade_ROI_Percentage,Trade_Risk_Reward_Ratio,Trade_MAE,Trade_MFE,EA_Entry_Quality,EA_Entry_Symbol,EA_Entry_Confluence,EA_Entry_Momentum,EA_Entry_Speed,EA_Entry_Acceleration,EA_Entry_Entropy,EA_Entry_Jerk,EA_Entry_PhysicsScore,EA_Entry_SpeedSlope,EA_Entry_AccelerationSlope,EA_Entry_MomentumSlope,EA_Entry_ConfluenceSlope,EA_Entry_JerkSlope,EA_Entry_Zone,EA_Entry_Regime,EA_Entry_Spread,EA_ExitReason,EA_Exit_Symbol,EA_Exit_Quality,EA_Exit_Confluence,EA_Exit_Momentum,EA_Exit_Speed,EA_Exit_Acceleration,EA_Exit_Entropy,EA_Exit_Jerk,EA_Exit_PhysicsScore,EA_Exit_SpeedSlope,EA_Exit_AccelerationSlope,EA_Exit_MomentumSlope,EA_Exit_ConfluenceSlope,EA_Exit_JerkSlope,EA_Exit_Zone,EA_Exit_Regime,EA_Exit_Spread,EA_Profit,EA_ProfitPercent,EA_Pips,EA_HoldTimeBars,EA_HoldTimeMinutes,EA_RiskPercent,EA_RRatio,EA_MFE,EA_MAE,EA_MFE_Percent,EA_MAE_Percent,EA_MFE_Pips,EA_MAE_Pips,EA_MFE_TimeBars,EA_MAE_TimeBars,EA_MFEUtilization,EA_MAEImpact,EA_ExcursionEfficiency,EA_RunUp_Price,EA_RunUp_Pips,EA_RunUp_Percent,EA_RunUp_TimeBars,EA_RunDown_Price,EA_RunDown_Pips,EA_RunDown_Percent,EA_RunDown_TimeBars,EA_ExitQualityClass,EA_EarlyExitOpportunityCost,EA_PhysicsScoreDecay,EA_SpeedDecay,EA_SpeedSlopeDecay,EA_ConfluenceDecay,EA_ZoneTransitioned,Signal_Entry_Matched,Signal_Entry_Timestamp,Signal_Entry_TimeDelta,Signal_Entry_Quality,Signal_Entry_Confluence,Signal_Entry_Speed,Signal_Entry_Acceleration,Signal_Entry_Momentum,Signal_Entry_Entropy,Signal_Entry_Jerk,Signal_Entry_PhysicsScore,Signal_Entry_SpeedSlope,Signal_Entry_AccelerationSlope,Signal_Entry_MomentumSlope,Signal_Entry_ConfluenceSlope,Signal_Entry_JerkSlope,Signal_Entry_Zone,Signal_Entry_Regime,Signal_Entry_PhysicsPass,Signal_Entry_RejectReason,Signal_Exit_Matched,Signal_Exit_Timestamp,Signal_Exit_TimeDelta,Signal_Exit_Quality,Signal_Exit_Confluence,Signal_Exit_Speed,Signal_Exit_Acceleration,Signal_Exit_Momentum,Signal_Exit_Entropy,Signal_Exit_Jerk,Signal_Exit_PhysicsScore,Signal_Exit_SpeedSlope,Signal_Exit_AccelerationSlope,Signal_Exit_MomentumSlope,Signal_Exit_ConfluenceSlope,Signal_Exit_JerkSlope,Signal_Exit_Zone,Signal_Exit_Regime,Signal_Exit_PhysicsPass,Signal_Exit_RejectReason,DataQuality,ProcessingTimestamp,SourceFiles
2,MT5_Backtest,2,2024.10.01 01:30:00,2024-10-01,01:30:00,Tuesday,October,2024-09-30,17:30:00,Monday,September,15-071,30-036,1h-018,2h-009,3h-006,4h-005,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,buy,in,0.99,20045,10000,72.77,10072.77,3,3,2024-09-30,21:25:00,Monday,September,15-086,30-043,1h-022,2h-011,3h-008,4h-006,After Hours,sell,out,20118.5,0,0,,NAS100,Win,Long,235,0.7277,0.72,20030,20139.3,89,NAS100,80,490.45,1832.86,503.12,0,973.3,96.45,-1046.47,5860.02,38.83,10,2026.84,BULL,NORMAL,400,MANUAL,NAS100,75.67,60,134.9,1363.2,-636.23,0,-411.98,49.78,998.62,1056.34,132.03,0,255.18,UNKNOWN,UNKNOWN,350,72.77,0.72,73.5,48,235,1,0.72,20139.3,20030,0.94,-0.15,94.3,-15,43,8,0.36,27525.08,0.5,20123.5,5,0.02,1,20042.8,-75.7,-0.38,40,Optimal,0,46.67,469.67,-2045.09,20,1,1,2024.10.01 01:30,0,89,80,1832.86,503.12,490.45,0,973.3,96.45,-1046.47,5860.02,38.83,10,2026.84,BULL,NORMAL,,PASS,1,2024.10.01 05:25,0,81,60,-631.4,-1714.11,-54.01,0,353.77,30.81,-2817.74,1299.78,-21.35,-10,748.33,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-28T17:41:34.057Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
4,MT5_Backtest,4,2024.10.01 05:25:00,2024-10-01,05:25:00,Tuesday,October,2024-09-30,21:25:00,Monday,September,15-086,30-043,1h-022,2h-011,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,sell,in,1,20118.5,10072.77,40.7,10113.47,5,5,2024-10-01,00:15:00,Tuesday,October,15-002,30-001,1h-001,2h-001,3h-001,4h-001,After Hours,buy,out,20077.8,0,0,,NAS100,Win,Short,170,0.40405965786968234,0.4,20127.5,20058.3,81,NAS100,60,-54.01,-631.4,-1714.11,0,353.77,30.81,-2817.74,1299.78,-21.35,-10,748.33,BEAR,NORMAL,400,MANUAL,NAS100,78.33,80,-263.98,-3546.44,-2550.35,0,-426.84,15.92,-740.08,62.02,-153.05,0,131.07,UNKNOWN,UNKNOWN,350,40.7,0.4,40.7,35,170,1,0.4,20058.3,20127.5,0.6,-0.09,60.2,-9,33,1,0.2,49453.32,0.5,20025,52.8,-0.26,25,20102,-24.2,0.12,34,Early,12.1,14.89,2915.04,-2077.66,-20,1,1,2024.10.01 05:25,0,81,60,-631.4,-1714.11,-54.01,0,353.77,30.81,-2817.74,1299.78,-21.35,-10,748.33,BEAR,NORMAL,,PASS,1,2024.10.01 08:15,0,83.67,60,148.79,2255.17,48.77,0,286.4,90.01,1269.16,1024.88,24.12,10,240.92,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-28T17:41:34.063Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
6,MT5_Backtest,6,2024.10.01 08:15:00,2024-10-01,08:15:00,Tuesday,October,2024-10-01,00:15:00,Tuesday,October,15-002,30-001,1h-001,2h-001,3h-001,4h-001,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,buy,in,1.01,20077.8,10113.47,31.31,10144.78,7,7,2024-10-01,06:20:00,Tuesday,October,15-026,30-013,1h-007,2h-004,3h-003,4h-002,After Hours,sell,out,20108.8,0,0,,NAS100,Win,Long,365,0.30958711500602665,0.31,20025,20133.8,83.67,NAS100,60,48.77,148.79,2255.17,0,286.4,90.01,1269.16,1024.88,24.12,10,240.92,BULL,NORMAL,350,MANUAL,NAS100,70.33,60,-1682.26,-13830.7,5691.61,0,2209.16,55.52,-1956.97,1386.66,-135.18,0,684.84,UNKNOWN,UNKNOWN,300,31.31,0.31,31,74,365,1,0.31,20133.8,20025,0.56,-0.53,56,-52.8,71,25,0.16,63957.2,0.5,20109.5,0.7,0,1,19630.1,-478.7,-2.38,48,Optimal,0,34.49,13979.49,3226.14,0,1,1,2024.10.01 08:15,0,83.67,60,148.79,2255.17,48.77,0,286.4,90.01,1269.16,1024.88,24.12,10,240.92,BULL,NORMAL,,PASS,1,2024.10.01 14:20,0,86.33,60,-1593.12,-6581.04,-35.47,0,-1333.74,17.19,-2803.19,-2821.05,-36.66,0,-602.05,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-28T17:41:34.065Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
8,MT5_Backtest,8,2024.10.01 14:20:00,2024-10-01,14:20:00,Tuesday,October,2024-10-01,06:20:00,Tuesday,October,15-026,30-013,1h-007,2h-004,3h-003,4h-002,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,sell,in,1.01,20108.8,10144.78,101.2,10245.98,9,9,2024-10-01,08:32:41,Tuesday,October,15-035,30-018,1h-009,2h-005,3h-003,4h-003,Opening Bell,buy,out,20008.6,0,0,tp 20008.8,NAS100,Win,Short,132,0.9975573644771005,0.99,20113,20009.8,86.33,NAS100,60,-35.47,-1593.12,-6581.04,0,-1333.74,17.19,-2803.19,-2821.05,-36.66,0,-602.05,BEAR,NORMAL,350,TP,NAS100,78.33,60,-24.9,698.7,9119.84,0,2203.99,85.42,2832.2,4606.23,139.69,-10,1133.87,UNKNOWN,UNKNOWN,300,101.2,0.99,100.2,27,132,1,0.99,20009.8,20113,0.99,-0.04,99,-4.2,27,1,0.51,19874.51,0.5,19630.1,378.5,-1.89,22,20034.8,-26.2,0.13,1,Early,278.3,-68.23,-2291.83,-5635.4,0,1,1,2024.10.01 14:20,0,86.33,60,-1593.12,-6581.04,-35.47,0,-1333.74,17.19,-2803.19,-2821.05,-36.66,0,-602.05,BEAR,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-28T17:41:34.066Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
10,MT5_Backtest,10,2024.10.01 17:20:00,2024-10-01,17:20:00,Tuesday,October,2024-10-01,09:20:00,Tuesday,October,15-038,30-019,1h-010,2h-005,3h-004,4h-003,Floor Session,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,sell,in,1.02,19732.3,10245.98,-35.19,10210.79,11,11,2024-10-01,12:55:00,Tuesday,October,15-052,30-026,1h-013,2h-007,3h-005,4h-004,Floor Session,buy,out,19766.8,0,0,,NAS100,Loss,Short,215,-0.3434517732808379,-0.34,19807.3,19633.1,89,NAS100,80,-1309.05,-35490.99,-3121.14,0,-1220.8,16.45,1342.7,-3343.35,-242.11,10,-1370.95,BEAR,HIGH,300,MANUAL,NAS100,83.67,60,170.89,4679.73,-278.76,0,-538.23,50.18,407.4,-3675.92,89.85,20,-1262.56,UNKNOWN,UNKNOWN,400,-35.19,-0.34,-34.5,44,215,1,-0.34,19633.1,19807.3,0.99,-0.75,99.2,-75,12,23,-0.18,0,0.5,19701.2,65.6,-0.33,43,19889.2,-122.4,0.62,8,Late,0,-33.73,-40170.72,935.31,20,1,1,2024.10.01 17:20,0,89,80,-35490.99,-3121.14,-1309.05,0,-1220.8,16.45,1342.7,-3343.35,-242.11,10,-1370.95,BEAR,HIGH,,PASS,1,2024.10.01 20:55,0,81,80,12033.5,3764.26,905.7,0,-62.37,83.87,2446.81,-3706.18,321.12,10,-1367.34,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-28T17:41:34.069Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
12,MT5_Backtest,12,2024.10.01 20:55:00,2024-10-01,20:55:00,Tuesday,October,2024-10-01,12:55:00,Tuesday,October,15-052,30-026,1h-013,2h-007,3h-005,4h-004,Floor Session,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,buy,in,1.02,19766.4,10210.79,102.2,10312.99,13,13,2024-10-01,13:16:40,Tuesday,October,15-054,30-027,1h-014,2h-007,3h-005,4h-004,Floor Session,sell,out,19866.6,0,0,tp 19866.6,NAS100,Win,Long,21,1.000901987015696,0.99,19759.3,19866.3,81,NAS100,80,905.9,12001.06,3714.36,0,-76.62,83.87,2446.81,-3706.18,321.12,10,-1367.34,BULL,NORMAL,300,TP,NAS100,83.67,60,173.62,3463.69,-5013.18,0,-1606.81,50.18,600.38,170.96,1.18,0,136.29,UNKNOWN,UNKNOWN,400,102.2,0.99,100.2,5,21,1,0.99,19866.3,19759.3,1,-0.07,99.9,-7.1,5,1,0.51,19333.95,0.5,19889.2,22.6,0.11,4,19701.2,-165.4,-0.83,39,Good,0,33.69,8537.38,1846.42,20,1,1,2024.10.01 20:55,0,81,80,12033.5,3764.26,905.7,0,-62.37,83.87,2446.81,-3706.18,321.12,10,-1367.34,BULL,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-28T17:41:34.070Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
14,MT5_Backtest,14,2024.10.02 01:05:00,2024-10-02,01:05:00,Wednesday,October,2024-10-01,17:05:00,Tuesday,October,15-069,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,sell,in,1.03,19742.4,10312.99,-19.88,10293.11,15,15,2024-10-01,19:10:00,Tuesday,October,15-077,30-039,1h-020,2h-010,3h-007,4h-005,After Hours,buy,out,19761.7,0,0,,NAS100,Loss,Short,125,-0.19276659824163506,-0.19,19765.2,19705.2,86.33,NAS100,80,-637.52,-14026.31,-1062.89,0,67.57,28.88,272.42,-2650.18,-9.53,10,-1255.96,BEAR,NORMAL,400,MANUAL,NAS100,70.33,40,58.54,445.91,-1781.91,0,-153.83,44.03,-1097.89,1133.81,-30.33,0,672.44,UNKNOWN,UNKNOWN,400,-19.88,-0.19,-19.3,26,125,1,-0.19,19705.2,19765.2,0.37,-0.23,37.2,-22.8,17,24,-0.1,0,0.5,19731.2,30.5,-0.15,4,19803.2,-41.5,0.21,25,Late,0,-15.14,-14472.21,1370.31,40,1,1,2024.10.02 01:05,0,86.33,80,-14026.31,-1062.89,-637.52,0,67.57,28.88,272.42,-2650.18,-9.53,10,-1255.96,BEAR,NORMAL,,PASS,1,2024.10.02 03:10,0,83.67,80,6732.68,1374.22,317.31,0,108.94,96.18,489.26,-817.11,0.72,-10,-204.42,BULL,LOW,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-28T17:41:34.072Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
16,MT5_Backtest,16,2024.10.02 03:10:00,2024-10-02,03:10:00,Wednesday,October,2024-10-01,19:10:00,Tuesday,October,15-077,30-039,1h-020,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,buy,in,1.02,19761.7,10293.11,-25.5,10267.61,17,17,2024-10-01,19:30:00,Tuesday,October,15-079,30-040,1h-020,2h-010,3h-007,4h-005,After Hours,sell,out,19736.7,0,0,,NAS100,Loss,Long,20,-0.24773853577781643,-0.25,19731.2,19770.9,83.67,NAS100,80,317.31,6732.68,1374.22,0,108.94,96.18,489.26,-817.11,0.72,-10,-204.42,BULL,LOW,400,MANUAL,NAS100,73,80,-283.62,-11051.52,-5660.74,0,-636.13,15.65,-3172.1,-2550.93,-80.81,20,-662.84,UNKNOWN,UNKNOWN,400,-25.5,-0.25,-25,5,20,1,-0.25,19770.9,19731.2,0.09,-0.31,9.2,-30.5,1,4,-0.13,0,0.5,19803.2,66.5,0.34,21,19733.7,-3,-0.02,1,Good,0,80.53,17784.21,3661.36,0,1,1,2024.10.02 03:10,0,83.67,80,6732.68,1374.22,317.31,0,108.94,96.18,489.26,-817.11,0.72,-10,-204.42,BULL,LOW,,PASS,1,2024.10.02 03:30,0,83.67,80,-4148.48,-6288.75,-151.43,0,-1159.85,16.18,-3391.52,-1457.79,-111.65,-20,-15.13,BEAR,LOW,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-28T17:41:34.073Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
18,MT5_Backtest,18,2024.10.02 03:30:00,2024-10-02,03:30:00,Wednesday,October,2024-10-01,19:30:00,Tuesday,October,15-079,30-040,1h-020,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,sell,in,1.02,19736.7,10267.61,-48.65,10218.96,19,19,2024-10-01,22:35:00,Tuesday,October,15-091,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,buy,out,19784.4,0,0,,NAS100,Loss,Short,185,-0.4738201002959792,-0.48,19807.2,19736.7,83.67,NAS100,80,-151.43,-4148.48,-6288.75,0,-1159.85,16.18,-3391.52,-1457.79,-111.65,-20,-15.13,BEAR,LOW,400,MANUAL,NAS100,75.67,80,661.01,5868.68,4909.91,0,1297.31,95.78,893.45,4064.2,408.43,20,1308.5,UNKNOWN,UNKNOWN,350,-48.65,-0.48,-47.7,38,185,1,-0.48,19736.7,19807.2,0,-0.71,0,-70.5,0,21,-0.25,0,0.5,19687.7,96.7,-0.49,28,19798.7,-14.3,0.07,5,Good,0,-79.6,-10017.16,-4284.97,0,1,1,2024.10.02 03:30,0,83.67,80,-4148.48,-6288.75,-151.43,0,-1159.85,16.18,-3391.52,-1457.79,-111.65,-20,-15.13,BEAR,LOW,,PASS,1,2024.10.02 06:35,0,81,60,2066.64,5472.06,16.37,0,1121.82,88.03,3018.27,4116.16,76.63,0,1023.22,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-28T17:41:34.074Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
20,MT5_Backtest,20,2024.10.02 06:35:00,2024-10-02,06:35:00,Wednesday,October,2024-10-01,22:35:00,Tuesday,October,15-091,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.3,,MT5,NAS100,M1,buy,in,1.02,19784.4,10218.96,-29.07,10189.89,21,21,2024-10-02,03:20:00,Wednesday,October,15-014,30-007,1h-004,2h-002,3h-002,4h-001,After Hours,sell,out,19755.9,0,0,,NAS100,Loss,Long,285,-0.284471218206158,-0.29,19687.7,19798.7,81,NAS100,60,16.37,2066.64,5472.06,0,1121.82,88.03,3018.27,4116.16,76.63,0,1023.22,BULL,NORMAL,400,MANUAL,NAS100,83.67,60,98.86,2299.29,4284.64,0,857,93.11,3015.4,216.75,51.29,-10,-506.15,UNKNOWN,UNKNOWN,350,-29.07,-0.29,-28.5,58,285,1,-0.29,19798.7,19687.7,0.14,-0.97,14.3,-96.7,5,28,-0.15,0,0.5,19782.4,26.5,0.13,40,19686.2,-69.7,-0.35,23,Late,0,-5.08,-232.65,2.87,0,1,1,2024.10.02 06:35,0,81,60,2066.64,5472.06,16.37,0,1121.82,88.03,3018.27,4116.16,76.63,0,1023.22,BULL,NORMAL,,PASS,1,2024.10.02 11:20,0,78.33,60,-490.59,-2060.94,-117.36,0,-227.94,12.92,-1049.23,663.89,-49.91,-10,316.14,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-28T17:41:34.075Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
