IN_Deal,Report_Source,IN_Trade_ID,IN_MT_MASTER_DATE_TIME,IN_MT_Date,IN_MT_Time,IN_MT_Day,IN_MT_Month,IN_CST_Date_OP_01,IN_CST_Time_OP_01,IN_CST_Day_OP_01,IN_CST_Month_OP_01,IN_Segment_15M_OP_01,IN_Segment_30M_OP_01,IN_Segment_01H_OP_01,IN_Segment_02H_OP_01,IN_Segment_03H_OP_01,IN_Segment_04H_OP_01,IN_Session_Name_OP_02,Strategy_ID_OP_03,Strategy_Version_ID_OP_03,Optimization_ID_OP_03,Report_Broker_OP_03,Symbol_OP_03,Chart_TF_OP_01,IN_Order_Type_OP_01,IN_Order_Direction,Volume_OP_03,IN_Symbol_Price_OP_03,IN_Balance_OP_01,OUT_Profit_OP_01,OUT_Balance_OP_01,OUT_Trade_ID,OUT_Deal,OUT_CST_Date_OP_03,OUT_CST_Time_OP_03,OUT_CST_Day_OP_03,OUT_CST_Month_OP_03,OUT_Segment_15M_OP_03,OUT_Segment_30M_OP_03,OUT_Segment_01H_OP_03,OUT_Segment_02H_OP_03,OUT_Segment_03H_OP_03,OUT_Segment_04H_OP_03,OUT_Session_Name_OP_03,OUT_Order_Type,OUT_Order_Direction,OUT_Symbol_Price_OP_01,OUT_Commission,OUT_Swap,OUT_Comment,OUT_Symbol,Trade_Result,Trade_Direction,Trade_Duration_Minutes,Trade_ROI_Percentage,Trade_Risk_Reward_Ratio,Trade_MAE,Trade_MFE,EA_Entry_Quality,EA_Entry_Symbol,EA_Entry_Confluence,EA_Entry_Momentum,EA_Entry_Speed,EA_Entry_Acceleration,EA_Entry_Entropy,EA_Entry_Jerk,EA_Entry_PhysicsScore,EA_Entry_SpeedSlope,EA_Entry_AccelerationSlope,EA_Entry_MomentumSlope,EA_Entry_ConfluenceSlope,EA_Entry_JerkSlope,EA_Entry_Zone,EA_Entry_Regime,EA_Entry_Spread,EA_ExitReason,EA_Exit_Symbol,EA_Exit_Quality,EA_Exit_Confluence,EA_Exit_Momentum,EA_Exit_Speed,EA_Exit_Acceleration,EA_Exit_Entropy,EA_Exit_Jerk,EA_Exit_PhysicsScore,EA_Exit_SpeedSlope,EA_Exit_AccelerationSlope,EA_Exit_MomentumSlope,EA_Exit_ConfluenceSlope,EA_Exit_JerkSlope,EA_Exit_Zone,EA_Exit_Regime,EA_Exit_Spread,EA_Profit,EA_ProfitPercent,EA_Pips,EA_HoldTimeBars,EA_HoldTimeMinutes,EA_RiskPercent,EA_RRatio,EA_MFE,EA_MAE,EA_MFE_Percent,EA_MAE_Percent,EA_MFE_Pips,EA_MAE_Pips,EA_MFE_TimeBars,EA_MAE_TimeBars,EA_MFEUtilization,EA_MAEImpact,EA_ExcursionEfficiency,EA_RunUp_Price,EA_RunUp_Pips,EA_RunUp_Percent,EA_RunUp_TimeBars,EA_RunDown_Price,EA_RunDown_Pips,EA_RunDown_Percent,EA_RunDown_TimeBars,EA_ExitQualityClass,EA_EarlyExitOpportunityCost,EA_PhysicsScoreDecay,EA_SpeedDecay,EA_SpeedSlopeDecay,EA_ConfluenceDecay,EA_ZoneTransitioned,Signal_Entry_Matched,Signal_Entry_Timestamp,Signal_Entry_TimeDelta,Signal_Entry_Quality,Signal_Entry_Confluence,Signal_Entry_Speed,Signal_Entry_Acceleration,Signal_Entry_Momentum,Signal_Entry_Entropy,Signal_Entry_Jerk,Signal_Entry_PhysicsScore,Signal_Entry_SpeedSlope,Signal_Entry_AccelerationSlope,Signal_Entry_MomentumSlope,Signal_Entry_ConfluenceSlope,Signal_Entry_JerkSlope,Signal_Entry_Zone,Signal_Entry_Regime,Signal_Entry_PhysicsPass,Signal_Entry_RejectReason,Signal_Exit_Matched,Signal_Exit_Timestamp,Signal_Exit_TimeDelta,Signal_Exit_Quality,Signal_Exit_Confluence,Signal_Exit_Speed,Signal_Exit_Acceleration,Signal_Exit_Momentum,Signal_Exit_Entropy,Signal_Exit_Jerk,Signal_Exit_PhysicsScore,Signal_Exit_SpeedSlope,Signal_Exit_AccelerationSlope,Signal_Exit_MomentumSlope,Signal_Exit_ConfluenceSlope,Signal_Exit_JerkSlope,Signal_Exit_Zone,Signal_Exit_Regime,Signal_Exit_PhysicsPass,Signal_Exit_RejectReason,DataQuality,ProcessingTimestamp,SourceFiles
2,MT5_Backtest,2,2025.01.02 02:05:00,2025-01-02,02:05:00,Thursday,January,2025-01-01,18:05:00,Wednesday,January,15-073,30-037,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,sell,in,1.99,21048.8,10,14.53,10,3,3,2025-01-01,18:45:00,Wednesday,January,15-076,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,buy,out,21041.5,0,0,,NAS100,Win,Short,40,145.29999999999998,0.01,21062.6,20948.8,81,NAS100,80,-443.99,-9075.72,-1109.15,0,240.1,31.05,360.4,-447.22,-10.92,0,-571.3,BEAR,NORMAL,200,MANUAL,NAS100,83.67,80,138.22,6223.29,-812.67,0,-1013.7,53.18,3260.98,1124.6,151.08,20,23.05,UNKNOWN,UNKNOWN,200,14.53,0.15,7.3,9,40,10,0.01,20948.8,21062.6,1,-0.14,100,-13.8,3,1,0.07,144959.39,0.5,21036.6,4.9,-0.02,1,21160.6,-119.1,0.57,33,Early,-2.4,-22.13,-15299.01,-2900.58,0,1,1,2025.01.02 02:05,0,81,80,-9075.72,-1109.15,-443.99,0,240.1,31.05,360.4,-447.22,-10.92,0,-571.3,BEAR,NORMAL,,PASS,1,2025.01.02 02:45,0,86.33,80,3750.89,13292.24,81.55,0,2150.4,95.21,9283.26,5659.82,106.76,0,602.04,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-26T23:10:42.894Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
4,MT5_Backtest,4,2025.01.02 02:45:00,2025-01-02,02:45:00,Thursday,January,2025-01-01,18:45:00,Wednesday,January,15-076,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,buy,in,2,21041.5,10,186.6,10,5,5,2025-01-01,21:15:00,Wednesday,January,15-086,30-043,1h-022,2h-011,3h-008,4h-006,After Hours,sell,out,21134.8,0,0,,NAS100,Win,Long,150,1866,0.18,21036.6,21153.8,86.33,NAS100,80,81.55,3750.89,13292.24,0,2150.4,95.21,9283.26,5659.82,106.76,0,602.04,BULL,NORMAL,200,MANUAL,NAS100,70.33,80,-157.12,-1440.25,-823.3,0,286.57,30.52,-1484.3,-1398.33,-12.98,-20,-339.57,UNKNOWN,UNKNOWN,200,186.6,1.83,93.3,31,150,10,0.18,21153.8,21036.6,1.12,-0.05,112.3,-4.9,26,1,0.88,11273.63,0.5,21218.8,84,0.4,46,21109.6,-25.2,-0.12,14,Early,-9.3,64.69,5191.14,10767.56,0,1,1,2025.01.02 02:45,0,86.33,80,3750.89,13292.24,81.55,0,2150.4,95.21,9283.26,5659.82,106.76,0,602.04,BULL,NORMAL,,PASS,1,2025.01.02 05:15,0,78.33,80,-1694.29,-1692.59,-254.31,0,-64.7,18.56,-1024.25,1573.43,-169.32,0,608.77,BEAR,LOW,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-26T23:10:42.902Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
6,MT5_Backtest,6,2025.01.02 05:15:00,2025-01-02,05:15:00,Thursday,January,2025-01-01,21:15:00,Wednesday,January,15-086,30-043,1h-022,2h-011,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,sell,in,2.04,21134.8,10,-31.62,10,7,7,2025-01-01,21:25:00,Wednesday,January,15-086,30-043,1h-022,2h-011,3h-008,4h-006,After Hours,buy,out,21150.3,0,0,,NAS100,Loss,Short,10,-316.2,-0.03,21154.3,21132.3,78.33,NAS100,80,-254.31,-1694.29,-1692.59,0,-64.7,18.56,-1024.25,1573.43,-169.32,0,608.77,BEAR,LOW,200,MANUAL,NAS100,70.33,60,-155.22,-999.12,1460.67,0,797.05,55.52,-1152.42,1667.21,-108.52,20,682.89,UNKNOWN,UNKNOWN,200,-31.62,-0.31,-15.5,3,10,10,-0.03,21132.3,21154.3,0.03,-0.2,2.5,-19.5,1,2,-0.15,0,0.5,21109.6,40.7,-0.19,12,21218.8,-68.5,0.32,44,Late,0,-36.95,-695.17,128.17,20,1,1,2025.01.02 05:15,0,78.33,80,-1694.29,-1692.59,-254.31,0,-64.7,18.56,-1024.25,1573.43,-169.32,0,608.77,BEAR,LOW,,PASS,1,2025.01.02 05:25,0,86.33,100,2465.86,2083.62,117.01,0,592.87,99.32,852.81,1491.15,86.64,0,301.52,BULL,LOW,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-26T23:10:42.907Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
8,MT5_Backtest,8,2025.01.02 05:25:00,2025-01-02,05:25:00,Thursday,January,2025-01-01,21:25:00,Wednesday,January,15-086,30-043,1h-022,2h-011,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,buy,in,2.02,21150.3,10,-46.46,10,9,9,2025-01-01,21:45:00,Wednesday,January,15-088,30-044,1h-022,2h-011,3h-008,4h-006,After Hours,sell,out,21127.3,0,0,,NAS100,Loss,Long,20,-464.59999999999997,-0.05,21126.3,21160.6,86.33,NAS100,100,117.01,2465.86,2083.62,0,592.87,99.32,852.81,1491.15,86.64,0,301.52,BULL,LOW,200,MANUAL,NAS100,83.67,60,-232.02,-7876.44,274.61,0,750.27,56.18,-2211.04,-1651.45,-20.83,0,-441.96,UNKNOWN,UNKNOWN,200,-46.46,-0.46,-23,5,20,10,-0.05,21160.6,21126.3,0.1,-0.24,10.3,-24,1,4,-0.22,0,0.5,21218.8,91.5,0.43,40,21109.6,-17.7,-0.08,8,Late,0,43.13,10342.31,3063.85,40,1,1,2025.01.02 05:25,0,86.33,100,2465.86,2083.62,117.01,0,592.87,99.32,852.81,1491.15,86.64,0,301.52,BULL,LOW,,PASS,1,2025.01.02 05:45,0,83.67,80,-4593.17,-5050.72,-131.64,0,-987.03,16.18,-2569.33,-3601.16,-116.77,-20,-927.54,BEAR,LOW,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-26T23:10:42.910Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
10,MT5_Backtest,10,2025.01.02 05:45:00,2025-01-02,05:45:00,Thursday,January,2025-01-01,21:45:00,Wednesday,January,15-088,30-044,1h-022,2h-011,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,sell,in,2.02,21127.3,10,-31.31,10,11,11,2025-01-01,22:40:00,Wednesday,January,15-091,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,buy,out,21142.8,0,0,,NAS100,Loss,Short,55,-313.09999999999997,-0.03,21145.3,21111.6,83.67,NAS100,80,-131.64,-4593.17,-5050.72,0,-987.03,16.18,-2569.33,-3601.16,-116.77,-20,-927.54,BEAR,LOW,200,MANUAL,NAS100,81,60,-528.97,-11002.66,5821.72,0,3132.08,56.05,-7717.79,3389.48,-337.99,0,2171.14,UNKNOWN,UNKNOWN,200,-31.31,-0.31,-15.5,12,55,10,-0.03,21111.6,21145.3,0.16,-0.18,15.7,-18,8,11,-0.15,0,0.5,21139.1,3.7,-0.02,1,21245.1,-102.3,0.48,43,Late,0,-39.87,6409.5,5148.46,20,1,1,2025.01.02 05:45,0,83.67,80,-4593.17,-5050.72,-131.64,0,-987.03,16.18,-2569.33,-3601.16,-116.77,-20,-927.54,BEAR,LOW,,PASS,1,2025.01.02 06:40,0,81,100,4492.63,4859.66,106,0,903.78,99.05,2529.99,2096.68,129.86,0,421.11,BULL,LOW,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-26T23:10:42.915Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
12,MT5_Backtest,12,2025.01.02 06:40:00,2025-01-02,06:40:00,Thursday,January,2025-01-01,22:40:00,Wednesday,January,15-091,30-046,1h-023,2h-012,3h-008,4h-006,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,buy,in,2,21142.8,10,71,10,13,13,2025-01-02,01:55:00,Thursday,January,15-008,30-004,1h-002,2h-001,3h-001,4h-001,After Hours,sell,out,21178.3,0,0,,NAS100,Win,Long,195,710,0.07,21139.1,21218.8,81,NAS100,100,106,4492.63,4859.66,0,903.78,99.05,2529.99,2096.68,129.86,0,421.11,BULL,LOW,200,MANUAL,NAS100,83.67,100,461.27,17300.22,1583.02,0,-826.84,84.18,3716.79,917.02,55.22,0,-91.73,UNKNOWN,UNKNOWN,200,71,0.7,35.5,40,195,10,0.07,21218.8,21139.1,0.76,-0.04,76,-3.7,29,1,0.33,29773.38,0.5,21289.8,111.5,0.53,49,21139.8,-38.5,-0.18,8,Early,76,14.87,-12807.6,-1186.8,0,1,1,2025.01.02 06:40,0,81,100,4492.63,4859.66,106,0,903.78,99.05,2529.99,2096.68,129.86,0,421.11,BULL,LOW,,PASS,1,2025.01.02 09:55,0,86.33,80,-7629.48,-114.73,-249.61,0,384.29,37.29,-1027.86,1820.27,39.2,-10,676.24,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-26T23:10:42.919Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
14,MT5_Backtest,14,2025.01.02 09:55:00,2025-01-02,09:55:00,Thursday,January,2025-01-02,01:55:00,Thursday,January,15-008,30-004,1h-002,2h-001,3h-001,4h-001,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,sell,in,2.02,21178.3,10,-64.24,10,15,15,2025-01-02,03:10:00,Thursday,January,15-013,30-007,1h-004,2h-002,3h-002,4h-001,After Hours,buy,out,21210.1,0,0,,NAS100,Loss,Short,75,-642.4,-0.06,21247.1,21141.8,86.33,NAS100,80,-249.61,-7629.48,-114.73,0,384.29,37.29,-1027.86,1820.27,39.2,-10,676.24,BEAR,NORMAL,200,MANUAL,NAS100,70.33,80,-284.02,-4669.97,-219.57,0,-91.81,16.13,1739.27,121.88,57.18,-10,-445.31,UNKNOWN,UNKNOWN,200,-64.24,-0.64,-31.8,16,75,10,-0.06,21141.8,21247.1,0.37,-0.69,36.5,-68.8,8,4,-0.3,0,0.5,21181.3,28.8,-0.14,13,21310.1,-100,0.47,38,Late,0,21.15,-2959.51,-2767.13,0,1,1,2025.01.02 09:55,0,86.33,80,-7629.48,-114.73,-249.61,0,384.29,37.29,-1027.86,1820.27,39.2,-10,676.24,BEAR,NORMAL,,PASS,1,2025.01.02 11:10,0,83.67,100,5176.41,2849.08,1011.69,0,112.18,99.18,1097.59,-2892.26,338.22,10,-1009.57,BULL,HIGH,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-26T23:10:42.924Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
16,MT5_Backtest,16,2025.01.02 11:10:00,2025-01-02,11:10:00,Thursday,January,2025-01-02,03:10:00,Thursday,January,15-013,30-007,1h-004,2h-002,3h-002,4h-001,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,buy,in,2,21210.1,10,-38.6,10,17,17,2025-01-02,03:40:00,Thursday,January,15-015,30-008,1h-004,2h-002,3h-002,4h-001,After Hours,sell,out,21190.8,0,0,,NAS100,Loss,Long,30,-386.00000000000006,-0.04,21183.6,21226.1,83.67,NAS100,100,1011.69,5176.41,2849.08,0,112.18,99.18,1097.59,-2892.26,338.22,10,-1009.57,BULL,HIGH,200,MANUAL,NAS100,78.33,100,222.78,7617.84,5939.48,0,705.96,98.92,3438.8,3622.2,107.48,-10,834.8,UNKNOWN,UNKNOWN,200,-38.6,-0.38,-19.3,7,30,10,-0.04,21226.1,21183.6,0.16,-0.27,16,-26.5,2,6,-0.18,0,0.5,21310.1,119.3,0.56,32,21181.3,-9.5,-0.04,7,Late,0,0.27,-2441.43,-2341.21,0,1,1,2025.01.02 11:10,0,83.67,100,5176.41,2849.08,1011.69,0,112.18,99.18,1097.59,-2892.26,338.22,10,-1009.57,BULL,HIGH,,PASS,1,2025.01.02 11:40,0,86.33,60,-2119.28,-5154.2,-143.98,0,-955.48,13.32,-3126.14,-1911.72,-201.42,0,-148.39,BEAR,HIGH,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-26T23:10:42.928Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
18,MT5_Backtest,18,2025.01.02 11:40:00,2025-01-02,11:40:00,Thursday,January,2025-01-02,03:40:00,Thursday,January,15-015,30-008,1h-004,2h-002,3h-002,4h-001,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,sell,in,2,21190.8,10,-71.6,9,19,19,2025-01-02,05:20:00,Thursday,January,15-022,30-011,1h-006,2h-003,3h-002,4h-002,After Hours,buy,out,21226.6,0,0,,NAS100,Loss,Short,100,-715.9999999999999,-0.07,21233.6,21183.3,86.33,NAS100,60,-143.98,-2119.28,-5154.2,0,-955.48,13.32,-3126.14,-1911.72,-201.42,0,-148.39,BEAR,HIGH,200,MANUAL,NAS100,83.67,80,-869.09,-10508.98,-16143.27,0,-3447.87,16.18,-4801.03,-8540.25,-356.38,-10,-1455.9,UNKNOWN,UNKNOWN,200,-71.6,-0.72,-35.8,21,100,10,-0.07,21183.3,21233.6,0.08,-0.43,7.5,-42.8,7,5,-0.34,0,0.5,20989.6,237,-1.12,41,21310.1,-83.5,0.39,12,Late,0,-2.87,8389.7,1674.89,-20,1,1,2025.01.02 11:40,0,86.33,60,-2119.28,-5154.2,-143.98,0,-955.48,13.32,-3126.14,-1911.72,-201.42,0,-148.39,BEAR,HIGH,,PASS,1,2025.01.02 13:20,0,91.67,100,2821.72,2732.91,311.68,0,662.48,99.58,1464.17,1159.38,222.56,10,158.28,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-26T23:10:42.933Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
20,MT5_Backtest,20,2025.01.02 13:20:00,2025-01-02,13:20:00,Thursday,January,2025-01-02,05:20:00,Thursday,January,15-022,30-011,1h-006,2h-003,3h-002,4h-002,After Hours,TP_Integrated_EA,5.0.0.0_MASTER,,MT5,NAS100,M1,buy,in,1.99,21226.6,9,-270.64,9,21,21,2025-01-02,08:35:00,Thursday,January,15-035,30-018,1h-009,2h-005,3h-003,4h-003,Opening Bell,sell,out,21090.6,0,0,,NAS100,Loss,Long,195,-3007.111111111111,-0.28,21089.8,21310.1,91.67,NAS100,100,311.68,2821.72,2732.91,0,662.48,99.58,1464.17,1159.38,222.56,10,158.28,BULL,NORMAL,200,MANUAL,NAS100,67.67,80,-987.07,-5591.65,-1049.64,0,-788.94,15.38,-151.33,-4455.8,-149.03,10,-1260.59,UNKNOWN,UNKNOWN,200,-270.64,-2.79,-136,40,195,10,-0.28,21310.1,21089.8,0.84,-1.37,83.5,-136.8,12,39,-1.27,0,0.5,21265.4,174.8,0.83,7,20808,-282.6,-1.34,40,Late,0,84.2,8413.37,1615.5,20,1,1,2025.01.02 13:20,0,91.67,100,2821.72,2732.91,311.68,0,662.48,99.58,1464.17,1159.38,222.56,10,158.28,BULL,NORMAL,,PASS,1,2025.01.02 16:35,0,86.33,80,-23341.49,-5861.98,-619.8,0,-746.31,16.32,-3101.52,-8099.59,-28.22,10,-2769.59,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-26T23:10:42.939Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
