Ticket,IN_Deal,IN_Order,OUT_Deal,OUT_Trade_ID,IN_MT_MASTER_DATE_TIME,EA_Entry_Symbol,EA_Entry_PhysicsScore,EA_Exit_Symbol,EA_Exit_PhysicsScore,MissingFields
3554,3554,3554,3555,3555,2025.11.14 20:18:00,NAS100,17.28,,0,EA_Exit_Data;Exit_Signal_Data
3556,3556,3556,3557,3557,2025.11.14 23:18:01,NAS100,99.05,,0,EA_Exit_Data;Exit_Signal_Data
