IN_Deal,Report_Source,IN_Trade_ID,IN_MT_MASTER_DATE_TIME,IN_MT_Date,IN_MT_Time,IN_MT_Day,IN_MT_Month,IN_CST_Date_OP_01,IN_CST_Time_OP_01,IN_CST_Day_OP_01,IN_CST_Month_OP_01,IN_Segment_15M_OP_01,IN_Segment_30M_OP_01,IN_Segment_01H_OP_01,IN_Segment_02H_OP_01,IN_Segment_03H_OP_01,IN_Segment_04H_OP_01,IN_Session_Name_OP_02,Strategy_ID_OP_03,Strategy_Version_ID_OP_03,Optimization_ID_OP_03,Report_Broker_OP_03,Symbol_OP_03,Chart_TF_OP_01,IN_Order_Type_OP_01,IN_Order_Direction,Volume_OP_03,IN_Symbol_Price_OP_03,IN_Balance_OP_01,OUT_Profit_OP_01,OUT_Balance_OP_01,OUT_Trade_ID,OUT_Deal,OUT_CST_Date_OP_03,OUT_CST_Time_OP_03,OUT_CST_Day_OP_03,OUT_CST_Month_OP_03,OUT_Segment_15M_OP_03,OUT_Segment_30M_OP_03,OUT_Segment_01H_OP_03,OUT_Segment_02H_OP_03,OUT_Segment_03H_OP_03,OUT_Segment_04H_OP_03,OUT_Session_Name_OP_03,OUT_Order_Type,OUT_Order_Direction,OUT_Symbol_Price_OP_01,OUT_Commission,OUT_Swap,OUT_Symbol,Trade_Result,Trade_Direction,Trade_Duration_Minutes,Trade_ROI_Percentage,Trade_Risk_Reward_Ratio,Trade_MAE,Trade_MFE,EA_Entry_Quality,EA_Entry_Symbol,EA_Entry_Confluence,EA_Entry_Momentum,EA_Entry_Speed,EA_Entry_Acceleration,EA_Entry_Entropy,EA_Entry_Jerk,EA_Entry_PhysicsScore,EA_Entry_SpeedSlope,EA_Entry_AccelerationSlope,EA_Entry_MomentumSlope,EA_Entry_ConfluenceSlope,EA_Entry_JerkSlope,EA_Entry_Zone,EA_Entry_Regime,EA_Entry_Spread,EA_ExitReason,EA_Exit_Symbol,EA_Exit_Quality,EA_Exit_Confluence,EA_Exit_Momentum,EA_Exit_Speed,EA_Exit_Acceleration,EA_Exit_Entropy,EA_Exit_Jerk,EA_Exit_PhysicsScore,EA_Exit_SpeedSlope,EA_Exit_AccelerationSlope,EA_Exit_MomentumSlope,EA_Exit_ConfluenceSlope,EA_Exit_JerkSlope,EA_Exit_Zone,EA_Exit_Regime,EA_Exit_Spread,EA_Profit,EA_ProfitPercent,EA_Pips,EA_HoldTimeBars,EA_HoldTimeMinutes,EA_RiskPercent,EA_RRatio,EA_MFE,EA_MAE,EA_MFE_Percent,EA_MAE_Percent,EA_MFE_Pips,EA_MAE_Pips,EA_MFE_TimeBars,EA_MAE_TimeBars,EA_MFEUtilization,EA_MAEImpact,EA_ExcursionEfficiency,EA_RunUp_Price,EA_RunUp_Pips,EA_RunUp_Percent,EA_RunUp_TimeBars,EA_RunDown_Price,EA_RunDown_Pips,EA_RunDown_Percent,EA_RunDown_TimeBars,EA_ExitQualityClass,EA_EarlyExitOpportunityCost,EA_PhysicsScoreDecay,EA_SpeedDecay,EA_SpeedSlopeDecay,EA_ConfluenceDecay,EA_ZoneTransitioned,Signal_Entry_Matched,Signal_Entry_Timestamp,Signal_Entry_TimeDelta,Signal_Entry_Quality,Signal_Entry_Confluence,Signal_Entry_Speed,Signal_Entry_Acceleration,Signal_Entry_Momentum,Signal_Entry_Entropy,Signal_Entry_Jerk,Signal_Entry_PhysicsScore,Signal_Entry_SpeedSlope,Signal_Entry_AccelerationSlope,Signal_Entry_MomentumSlope,Signal_Entry_ConfluenceSlope,Signal_Entry_JerkSlope,Signal_Entry_Zone,Signal_Entry_Regime,Signal_Entry_PhysicsPass,Signal_Entry_RejectReason,Signal_Exit_Matched,Signal_Exit_Timestamp,Signal_Exit_TimeDelta,Signal_Exit_Quality,Signal_Exit_Confluence,Signal_Exit_Speed,Signal_Exit_Acceleration,Signal_Exit_Momentum,Signal_Exit_Entropy,Signal_Exit_Jerk,Signal_Exit_PhysicsScore,Signal_Exit_SpeedSlope,Signal_Exit_AccelerationSlope,Signal_Exit_MomentumSlope,Signal_Exit_ConfluenceSlope,Signal_Exit_JerkSlope,Signal_Exit_Zone,Signal_Exit_Regime,Signal_Exit_PhysicsPass,Signal_Exit_RejectReason,DataQuality,ProcessingTimestamp,SourceFiles
116,MT5_Backtest,116,2025.10.27 22:11:01,2025-10-27,22:11:01,Monday,October,2025-10-27,14:11:01,Monday,October,15-057,30-029,1h-015,2h-008,3h-005,4h-004,Floor Session,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,sell,in,2.25,25848.8,9,-72.23,8,117,117,2025-10-27,14:29:00,Monday,October,15-058,30-029,1h-015,2h-008,3h-005,4h-004,Floor Session,buy,out,25880.9,0,0,NAS100,Loss,Short,17,-802.5555555555557,-0.16,25884.4,25848.8,75.67,NAS100,80,-153.15,-665.41,-203.1,0,14.88,24.4,-31.39,622.05,-5.98,-10,187.53,BEAR,NORMAL,360,MANUAL,NAS100,70.33,100,104.98,3657.2,1211.56,0,75.11,96.65,1159.66,1649.56,21.2,0,519.28,UNKNOWN,UNKNOWN,460,-72.23,-0.81,-32.1,19,18,5,-0.16,25848.8,25884.4,0,-0.36,0,-35.6,0,13,-0.28,0,0.5,25868.6,12.3,-0.05,39,25893.5,-12.6,0.05,25,Late,0,-72.25,-4322.61,-1191.06,-20,1,1,2025.10.27 22:11,0.016666666666666666,75.67,80,-665.41,-203.1,-153.15,0,14.88,24.4,-31.39,622.05,-5.98,-10,187.53,BEAR,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.785Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
118,MT5_Backtest,118,2025.10.27 22:29:01,2025-10-27,22:29:01,Monday,October,2025-10-27,14:29:01,Monday,October,15-058,30-029,1h-015,2h-008,3h-005,4h-004,Floor Session,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,buy,in,2.23,25880.9,8,4.68,8,119,119,2025-10-27,14:57:02,Monday,October,15-060,30-030,1h-015,2h-008,3h-005,4h-004,Closing Bell,sell,out,25883,0,0,NAS100,Win,Long,28,58.5,0.01,25876.8,25893.5,81,NAS100,100,101.26,1901.35,602.1,0,488.48,99.05,-731.11,1637.82,17.76,-20,612.05,BULL,NORMAL,360,MANUAL,NAS100,78.33,80,9.45,547.56,1176.19,0,177.49,90.48,416.92,761.67,8.78,-10,140.02,UNKNOWN,UNKNOWN,470,4.68,0.05,2.1,29,28,5,0.01,25893.5,25876.8,0.13,-0.04,12.6,-4.1,25,1,0.02,552923.08,0.5,25887,4,0.02,2,25868.6,-14.4,-0.06,11,Early,1.9,8.57,1353.79,-1148.03,20,1,1,2025.10.27 22:29,0.016666666666666666,81,100,1901.35,602.1,101.26,0,488.48,99.05,-731.11,1637.82,17.76,-20,612.05,BULL,NORMAL,,PASS,1,2025.10.27 22:53,4.033333333333333,78.33,100,3162.94,403.74,68.2,0,136.71,97.01,236.54,649.61,0.67,-10,197.69,BULL,LOW,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-24T22:17:35.786Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
120,MT5_Backtest,120,2025.10.27 22:57:02,2025-10-27,22:57:02,Monday,October,2025-10-27,14:57:02,Monday,October,15-060,30-030,1h-015,2h-008,3h-005,4h-004,Closing Bell,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,sell,in,2.24,25883,8,-21.95,8,121,121,2025-10-27,17:16:02,Monday,October,15-070,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,buy,out,25892.8,0,3.85,NAS100,Loss,Short,139,-274.375,-0.05,25892.8,25873,81,NAS100,80,-45.67,-2196.38,-2912.56,0,-444.49,19.31,-1535.5,-2389.79,-35.3,0,-695.44,BEAR,NORMAL,370,MANUAL,NAS100,86.33,60,-39.01,-5408.06,1309.77,0,362.53,59.98,119.79,-54.17,0.87,0,-96.19,UNKNOWN,UNKNOWN,460,-21.95,-0.25,-9.8,78,139,5,-0.05,25873,25892.8,0.1,-0.1,10,-9.8,4,78,-0.08,0,0.5,25867.9,24.9,-0.1,48,25900.1,-7.3,0.03,10,Late,0,-40.67,3211.68,-1655.29,20,1,1,2025.10.27 22:57,0.03333333333333333,81,80,-2196.38,-2912.56,-45.67,0,-444.49,19.31,-1535.5,-2389.79,-35.3,0,-695.44,BEAR,NORMAL,,PASS,1,2025.10.28 01:09,7.033333333333333,83.67,60,-576.96,-3050.87,-4.2,0,-573.98,18.93,-2402.59,-1766.93,-13.42,10,-222.63,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.788Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
122,MT5_Backtest,122,2025.10.28 01:16:02,2025-10-28,01:16:02,Tuesday,October,2025-10-27,17:16:02,Monday,October,15-070,30-035,1h-018,2h-009,3h-006,4h-005,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,buy,in,2.23,25892.8,8,-17.17,8,123,123,2025-10-27,17:55:00,Monday,October,15-072,30-036,1h-018,2h-009,3h-006,4h-005,After Hours,sell,out,25885.1,0,0,NAS100,Loss,Long,38,-214.62500000000003,-0.04,25883.6,25900.1,89,NAS100,100,63.36,3171.01,1252.78,0,205.88,97.25,464.09,-721.43,12.16,-10,-312.98,BULL,NORMAL,470,MANUAL,NAS100,81,100,38.97,721.25,1010.75,0,354.05,95.39,-763.95,-57.7,-21.37,-20,102.46,UNKNOWN,UNKNOWN,470,-17.17,-0.19,-7.7,40,38,5,-0.04,25900.1,25883.6,0.07,-0.09,7.3,-9.2,10,31,-0.07,0,0.5,25887.1,2,0.01,1,25859.7,-25.4,-0.1,14,Late,0,1.86,2449.76,1228.05,0,1,1,2025.10.28 01:16,0.03333333333333333,89,100,3171.01,1252.78,63.36,0,205.88,97.25,464.09,-721.43,12.16,-10,-312.98,BULL,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.789Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
124,MT5_Backtest,124,2025.10.28 01:55:01,2025-10-28,01:55:01,Tuesday,October,2025-10-27,17:55:01,Monday,October,15-072,30-036,1h-018,2h-009,3h-006,4h-005,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,sell,in,2.23,25885.1,8,19.62,8,125,125,2025-10-27,18:15:00,Monday,October,15-074,30-037,1h-019,2h-010,3h-007,4h-005,After Hours,buy,out,25876.3,0,0,NAS100,Win,Short,19,245.25,0.04,25891.8,25864.3,86.33,NAS100,80,-33.49,-2544.52,-3074.57,0,-654.92,20.31,-2062.67,-2280.44,-30.8,0,-435.91,BEAR,NORMAL,470,MANUAL,NAS100,73,80,-68.83,-2158.99,-601.79,0,-124.12,17.52,209.02,665.75,14.63,0,227.66,UNKNOWN,UNKNOWN,470,19.62,0.22,8.8,21,19,5,0.04,25864.3,25891.8,0.21,-0.07,20.8,-6.7,14,1,0.08,131966.36,0.5,25853.9,22.4,-0.09,49,25876.3,0,0,0,Early,13.6,2.79,-385.53,-2271.69,0,1,1,2025.10.28 01:55,0.016666666666666666,86.33,80,-2544.52,-3074.57,-33.49,0,-654.92,20.31,-2062.67,-2280.44,-30.8,0,-435.91,BEAR,NORMAL,,PASS,1,2025.10.28 02:08,7,91.67,80,-7541.38,-153.53,-76.52,0,44.4,32.08,-432.22,359.69,5.12,-10,183.58,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION"",""EARLY_EXIT""]}",2025-11-24T22:17:35.790Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
126,MT5_Backtest,126,2025.10.28 02:15:00,2025-10-28,02:15:00,Tuesday,October,2025-10-27,18:15:00,Monday,October,15-074,30-037,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,buy,in,2.23,25876.3,8,-35.01,8,127,127,2025-10-27,18:50:00,Monday,October,15-076,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,sell,out,25860.6,0,0,NAS100,Loss,Long,35,-437.625,-0.08,25859.4,25876.3,83.67,NAS100,100,107.23,2521.57,813.33,0,-178.78,84.18,406.94,-1334.52,30.39,-10,-367.11,BULL,NORMAL,470,MANUAL,NAS100,81,60,-19.34,-1153.1,-2142.26,0,-159.76,17.89,-1918.4,-1644.61,-11.25,0,-305.79,UNKNOWN,UNKNOWN,470,-35.01,-0.39,-15.7,36,35,5,-0.08,25876.3,25859.4,0,-0.17,0,-16.9,0,31,-0.14,0,0.5,25864.1,3.5,0.01,2,25844.1,-16.5,-0.06,34,Late,0,66.29,3674.67,2325.34,40,1,1,2025.10.28 02:15,0,83.67,100,2521.57,813.33,107.23,0,-178.78,84.18,406.94,-1334.52,30.39,-10,-367.11,BULL,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.791Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
128,MT5_Backtest,128,2025.10.28 02:50:00,2025-10-28,02:50:00,Tuesday,October,2025-10-27,18:50:00,Monday,October,15-076,30-038,1h-019,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,sell,in,2.22,25859.9,8,-2.89,8,129,129,2025-10-27,19:16:01,Monday,October,15-078,30-039,1h-020,2h-010,3h-007,4h-005,After Hours,buy,out,25861.2,0,0,NAS100,Loss,Short,26,-36.125,-0.01,25868.8,25851.5,83.67,NAS100,80,-47.1,-2340.98,-589.78,0,-122.55,24.27,293.15,393.33,11.11,-10,35.23,BEAR,NORMAL,460,MANUAL,NAS100,78.33,100,71.32,3120.13,445.35,0,-229.39,82.2,1058.61,-85.72,32.48,0,-134.28,UNKNOWN,UNKNOWN,460,-2.89,-0.03,-1.3,27,26,5,-0.01,25851.5,25868.8,0.08,-0.09,8.4,-8.9,25,2,-0.01,0,0.5,25844.1,17.1,-0.07,8,25863.6,-2.4,0.01,18,Late,0,-57.93,-5461.12,-765.46,-20,1,1,2025.10.28 02:50,0,83.67,80,-2141.38,-282.7,-46.75,0,-34.81,24.27,293.15,393.33,11.11,-10,35.23,BEAR,NORMAL,,PASS,1,2025.10.28 03:13,3.0166666666666666,83.67,80,-2726.51,-296.06,-47.05,0,-118.59,19.36,121.87,-101.82,7.25,-10,-56.1,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.792Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
130,MT5_Backtest,130,2025.10.28 03:16:01,2025-10-28,03:16:01,Tuesday,October,2025-10-27,19:16:01,Monday,October,15-078,30-039,1h-020,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,buy,in,2.22,25861.5,8,-9.77,8,131,131,2025-10-27,19:39:03,Monday,October,15-079,30-040,1h-020,2h-010,3h-007,4h-005,After Hours,sell,out,25857.1,0,0,NAS100,Loss,Long,23,-122.125,-0.02,25844.1,25863.6,81,NAS100,80,7.96,1886.9,3433.38,0,683.49,90.53,1188.34,1942.6,7.58,-10,569.33,BULL,NORMAL,470,MANUAL,NAS100,86.33,100,36.14,1668.1,759.97,0,-104.73,80.49,1901.71,2283.07,12.23,-10,475.15,UNKNOWN,UNKNOWN,470,-9.77,-0.11,-4.4,24,23,5,-0.02,25863.6,25844.1,0.02,-0.17,2.1,-17.4,18,8,-0.04,0,0.5,25863.6,6.5,0.03,42,25848.6,-8.5,-0.03,2,Late,0,10.04,218.8,-713.38,-20,1,1,2025.10.28 03:16,0.016666666666666666,81,80,1828.91,3344.17,7.96,0,658,90.53,1188.34,1942.6,7.58,-10,569.33,BULL,NORMAL,,PASS,1,2025.10.28 03:32,7.05,86.33,100,4112.96,401.61,93.14,0,-183.53,83.9,584.45,305.69,16.26,-10,157.57,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.794Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
132,MT5_Backtest,132,2025.10.28 03:39:04,2025-10-28,03:39:04,Tuesday,October,2025-10-27,19:39:04,Monday,October,15-079,30-040,1h-020,2h-010,3h-007,4h-005,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,sell,in,2.22,25857.4,8,-19.76,8,133,133,2025-10-27,20:19:00,Monday,October,15-082,30-041,1h-021,2h-011,3h-007,4h-006,After Hours,buy,out,25866.3,0,0,NAS100,Loss,Short,39,-247.00000000000003,-0.04,25867.5,25853.3,81,NAS100,60,-19.49,-1070.45,-2015.11,0,-123.43,17.89,-2083.11,-253.41,-7.51,10,179.06,BEAR,NORMAL,460,MANUAL,NAS100,70.33,60,9.55,123.05,-557.27,0,93.97,56.39,-969.4,-40.98,-1.41,-20,70.89,UNKNOWN,UNKNOWN,470,-19.76,-0.22,-8.9,41,39,5,-0.04,25853.3,25867.5,0.04,-0.1,4.1,-10.1,2,40,-0.08,0,0.5,25846.8,19.5,-0.08,33,25867.3,-1,0,44,Good,0,-38.5,-1193.5,-1113.71,0,1,1,2025.10.28 03:39,0.06666666666666667,81,60,-1153.1,-2142.26,-19.34,0,-159.76,17.89,-2083.11,-253.41,-7.51,10,179.06,BEAR,NORMAL,,PASS,1,2025.10.28 04:16,3,91.67,80,-2036.75,-480.35,-64.51,0,179.02,33.71,-610.29,905.91,-21.26,-10,310.02,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.796Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
134,MT5_Backtest,134,2025.10.28 04:19:01,2025-10-28,04:19:01,Tuesday,October,2025-10-27,20:19:01,Monday,October,15-082,30-041,1h-021,2h-011,3h-007,4h-006,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,buy,in,2.21,25866.5,8,-22.32,8,135,135,2025-10-27,20:22:00,Monday,October,15-082,30-041,1h-021,2h-011,3h-007,4h-006,After Hours,sell,out,25856.4,0,0,NAS100,Loss,Long,2,-279,-0.05,25856.1,25866.5,86.33,NAS100,100,32.7,1926.21,1862.08,0,386.17,95.28,1223.19,905.78,28.93,-20,101.55,BULL,NORMAL,460,MANUAL,NAS100,73,80,-65.08,-3708.16,-872.99,0,203.24,32.75,-963.47,-343.07,-26.05,0,-79.97,UNKNOWN,UNKNOWN,460,-22.32,-0.25,-10.1,4,3,5,-0.05,25866.5,25856.1,0,-0.1,0,-10.4,0,3,-0.09,0,0.5,25867.3,10.9,0.04,41,25846.8,-9.6,-0.04,30,Late,0,62.53,5634.37,2186.66,20,1,1,2025.10.28 04:19,0.016666666666666666,86.33,100,1839.37,1728.5,32.7,0,348.01,95.28,1223.19,905.78,28.93,-20,101.55,BULL,NORMAL,,PASS,1,2025.10.28 04:19,3,86.33,100,1839.37,1728.5,32.7,0,348.01,95.28,1223.19,905.78,28.93,-20,101.55,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.798Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
136,MT5_Backtest,136,2025.10.28 04:22:01,2025-10-28,04:22:01,Tuesday,October,2025-10-27,20:22:01,Monday,October,15-082,30-041,1h-021,2h-011,3h-007,4h-006,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,sell,in,2.21,25856.4,8,-19.45,8,137,137,2025-10-27,20:27:03,Monday,October,15-082,30-041,1h-021,2h-011,3h-007,4h-006,After Hours,buy,out,25865.2,0,0,NAS100,Loss,Short,5,-243.125,-0.04,25865.2,25856.4,83.67,NAS100,60,-3.59,-941.01,-2924.8,0,-829.77,18.97,-402.94,-1966.14,2.44,20,-617.09,BEAR,NORMAL,460,MANUAL,NAS100,75.67,60,-29.24,-824.53,2960.09,0,649.9,60.03,27.35,753.35,9.67,0,124.92,UNKNOWN,UNKNOWN,460,-19.45,-0.22,-8.8,6,5,5,-0.04,25856.4,25865.2,0,-0.09,0,-8.8,0,6,-0.08,0,0.5,25846.8,18.4,-0.07,25,25867.3,-2.1,0.01,36,Good,0,-41.06,-116.49,-430.29,0,1,1,2025.10.28 04:22,0.016666666666666666,83.67,60,-941.01,-2924.8,-3.59,0,-829.77,18.97,-402.94,-1966.14,2.44,20,-617.09,BEAR,NORMAL,,PASS,1,2025.10.28 04:22,5.05,83.67,60,-941.01,-2924.8,-3.59,0,-829.77,18.97,-402.94,-1966.14,2.44,20,-617.09,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.799Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
138,MT5_Backtest,138,2025.10.28 04:27:04,2025-10-28,04:27:04,Tuesday,October,2025-10-27,20:27:04,Monday,October,15-082,30-041,1h-021,2h-011,3h-007,4h-006,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,buy,in,2.2,25865,8,-35.42,8,139,139,2025-10-27,20:49:00,Monday,October,15-084,30-042,1h-021,2h-011,3h-007,4h-006,After Hours,sell,out,25848.9,0,0,NAS100,Loss,Long,21,-442.75,-0.08,25848.6,25865,86.33,NAS100,80,8.97,1775.17,3158.12,0,706.96,90.85,1901.71,2283.07,12.23,-10,475.15,BULL,NORMAL,470,MANUAL,NAS100,89,80,-55.93,-1065.06,-113.31,0,38.56,35.56,711.83,119.41,2.98,0,-113.65,UNKNOWN,UNKNOWN,460,-35.42,-0.4,-16.1,23,21,5,-0.08,25865,25848.6,0,-0.16,0,-16.4,0,22,-0.14,0,0.5,25867.3,18.4,0.07,14,25846.8,-2.1,-0.01,3,Good,0,55.3,2840.23,1189.88,0,1,1,2025.10.28 04:27,0.06666666666666667,86.33,80,1863.98,3294.74,8.97,0,745.99,90.85,1901.71,2283.07,12.23,-10,475.15,BULL,NORMAL,,PASS,1,2025.10.28 04:46,3,83.67,100,1896.55,2055.81,17.29,0,293.93,94.22,1490.56,1678.04,30.22,-20,400.38,BULL,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.800Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
140,MT5_Backtest,140,2025.10.28 04:49:00,2025-10-28,04:49:00,Tuesday,October,2025-10-27,20:49:00,Monday,October,15-084,30-042,1h-021,2h-011,3h-007,4h-006,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,sell,in,2.2,25848.9,8,-22.66,8,141,141,2025-10-27,20:54:03,Monday,October,15-084,30-042,1h-021,2h-011,3h-007,4h-006,After Hours,buy,out,25859.2,0,0,NAS100,Loss,Short,5,-283.25,-0.05,25859.2,25848.9,81,NAS100,80,-34.08,-3765.39,-3950.83,0,-994.46,20.01,-1177.35,-1923.86,-16.87,-10,-476.29,BEAR,NORMAL,460,MANUAL,NAS100,75.67,100,33.92,1074.18,346.73,0,-0.93,87.25,738.09,599.8,32.78,20,130.82,UNKNOWN,UNKNOWN,460,-22.66,-0.26,-10.3,6,5,5,-0.05,25848.9,25859.2,0,-0.1,0,-10.3,0,6,-0.09,0,0.5,25849.7,9.5,-0.04,19,25867.3,-8.1,0.03,9,Late,0,-67.24,-4839.57,-1915.45,-20,1,1,2025.10.28 04:49,0,81,80,-3765.39,-3950.83,-34.08,0,-994.46,20.01,-1177.35,-1923.86,-16.87,-10,-476.29,BEAR,NORMAL,,PASS,1,2025.10.28 04:49,5.05,81,80,-3765.39,-3950.83,-34.08,0,-994.46,20.01,-1177.35,-1923.86,-16.87,-10,-476.29,BEAR,NORMAL,,PASS,"{""score"":100,""missingFields"":[],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.802Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
142,MT5_Backtest,142,2025.10.28 04:54:04,2025-10-28,04:54:04,Tuesday,October,2025-10-27,20:54:04,Monday,October,15-084,30-042,1h-021,2h-011,3h-007,4h-006,After Hours,TP_Integrated_EA,4.2.0.6_COMPLETE,,MT5,NAS100,M1,buy,in,2.19,25859.2,8,-5.04,8,143,143,2025-10-27,21:22:02,Monday,October,15-086,30-043,1h-022,2h-011,3h-008,4h-006,After Hours,sell,out,25856.9,0,0,NAS100,Loss,Long,27,-63,-0.01,25849.7,25867.3,86.33,NAS100,80,4.51,1912.89,4019.45,0,845.64,90.59,2277.95,1780.72,14.03,-10,248.44,BULL,NORMAL,460,MANUAL,NAS100,86.33,80,56.59,919.16,-47.8,0,-202.68,61.37,211.33,-1093.85,25.16,-10,-363.88,UNKNOWN,UNKNOWN,470,-5.04,-0.06,-2.3,29,28,5,-0.01,25867.3,25849.7,0.08,-0.1,8.1,-9.5,9,19,-0.02,0,0.5,25871.3,14.4,0.06,30,25855.2,-1.7,-0.01,10,Late,0,29.22,993.73,2066.62,0,1,1,2025.10.28 04:54,0.06666666666666667,86.33,80,1912.89,4019.45,4.51,0,845.64,90.59,2277.95,1780.72,14.03,-10,248.44,BULL,NORMAL,,PASS,,,,,,,,,,,,,,,,,,,,,"{""score"":85,""missingFields"":[""Exit_Signal_Data""],""validationFlags"":[""ZONE_TRANSITION""]}",2025-11-24T22:17:35.804Z,"{""mt5Report"":""MT5_Backtest"",""eaTradesCSV"":""EA_Trades"",""eaSignalsCSV"":""EA_Signals""}"
