tradeIndex,type,message
62,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=126, OUT=127"
63,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=128, OUT=129"
64,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=130, OUT=131"
65,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=132, OUT=133"
65,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
66,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=134, OUT=135"
67,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=136, OUT=137"
67,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
68,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=138, OUT=139"
69,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=140, OUT=141"
70,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=142, OUT=143"
71,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=144, OUT=145"
72,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=146, OUT=147"
73,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=148, OUT=149"
74,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=150, OUT=151"
75,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=152, OUT=153"
76,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=154, OUT=155"
76,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
77,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=156, OUT=157"
78,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=158, OUT=159"
79,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=160, OUT=161"
80,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=162, OUT=163"
80,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
81,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=164, OUT=165"
82,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=166, OUT=167"
83,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=168, OUT=169"
83,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
84,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=170, OUT=171"
85,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=172, OUT=173"
86,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=174, OUT=175"
87,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=176, OUT=177"
87,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
88,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=178, OUT=179"
89,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=180, OUT=181"
90,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=182, OUT=183"
91,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=184, OUT=185"
92,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=186, OUT=187"
92,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
93,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=188, OUT=189"
94,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=190, OUT=191"
94,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
95,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=192, OUT=193"
96,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=194, OUT=195"
96,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
97,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=196, OUT=197"
98,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=198, OUT=199"
99,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=200, OUT=201"
100,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=202, OUT=203"
101,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=204, OUT=205"
102,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=206, OUT=207"
103,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=208, OUT=209"
104,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=210, OUT=211"
105,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=212, OUT=213"
106,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=214, OUT=215"
107,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=216, OUT=217"
107,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
108,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=218, OUT=219"
109,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=220, OUT=221"
110,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=222, OUT=223"
110,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
111,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=224, OUT=225"
112,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=226, OUT=227"
113,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=228, OUT=229"
113,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
114,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=230, OUT=231"
115,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=232, OUT=233"
116,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=234, OUT=235"
116,"NO_EXIT_SIGNAL_MATCH","No matching exit signal found"
117,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=236, OUT=237"
118,"TRADE_ID_MISMATCH","Trade ID mismatch: IN=238, OUT=239"
