dataset,symbol,version,timeframe,signal_metric,outcome_metric,correlation,p_value,n_samples,significant
NAS100_v2.6_1H,NAS100,v2.6,1H,Acceleration,RRatio,0.05845348930131779,0.7028989859210402,45,False
NAS100_v2.6_1H,NAS100,v2.6,1H,Acceleration,Pips,0.05778364206346675,0.7061498718909421,45,False
NAS100_v2.6_1H,NAS100,v2.6,1H,Jerk,Profit,0.19637164672025662,0.1960586537654211,45,False
NAS100_v2.6_1H,NAS100,v2.6,1H,Jerk,ProfitPercent,0.18311127256897647,0.22859205220555862,45,False
NAS100_v2.6_1H,NAS100,v2.6,1H,Jerk,IsWin,0.2203839965238163,0.14574309489180526,45,False
NAS100_v2.6_1H,NAS100,v2.6,1H,Jerk,RRatio,0.18311127256897647,0.22859205220555862,45,False
NAS100_v2.6_1H,NAS100,v2.6,1H,Jerk,Pips,0.18350163921171997,0.22758436069879148,45,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Quality,Profit,0.05320092973610112,0.22011448544098638,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Quality,ProfitPercent,0.05283400704101388,0.2233172008119273,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Quality,IsWin,0.028204919102775675,0.5158462056503405,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Quality,RRatio,0.05283400704101388,0.2233172008119273,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Quality,Pips,0.053212202409239205,0.22001661396220468,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Confluence,Profit,0.03842115610579866,0.37601336638456845,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Confluence,ProfitPercent,0.036504003200704294,0.40031314232257303,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Confluence,IsWin,0.06702233819196546,0.1222407995440169,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Confluence,RRatio,0.036504003200704294,0.40031314232257303,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Confluence,Pips,0.0383186717655416,0.37728891501860157,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Momentum,Profit,0.057164315260208466,0.18759740611104336,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Momentum,ProfitPercent,0.05460836801070956,0.20813453863274897,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Momentum,IsWin,0.039958979025442105,0.35719319821234097,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Momentum,RRatio,0.05460836801070956,0.20813453863274897,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Momentum,Pips,0.057107546493835926,0.1880367263432444,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Speed,Profit,0.10156548908828297,0.01900748833830366,533,True
NAS100_v3.1_05M,NAS100,v3.1,05M,Speed,ProfitPercent,0.09809143847881208,0.02352716368621421,533,True
NAS100_v3.1_05M,NAS100,v3.1,05M,Speed,IsWin,0.0866990613320169,0.045427695830107556,533,True
NAS100_v3.1_05M,NAS100,v3.1,05M,Speed,RRatio,0.09809143847881208,0.02352716368621421,533,True
NAS100_v3.1_05M,NAS100,v3.1,05M,Speed,Pips,0.10145957454526544,0.019133200366657572,533,True
NAS100_v3.1_05M,NAS100,v3.1,05M,Acceleration,Profit,0.08728381199615431,0.04398667235284453,533,True
NAS100_v3.1_05M,NAS100,v3.1,05M,Acceleration,ProfitPercent,0.08493292397219404,0.05002296641814664,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Acceleration,IsWin,0.06771167951949648,0.11843700656997785,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Acceleration,RRatio,0.08493292397219404,0.05002296641814664,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Acceleration,Pips,0.08723505623704815,0.04410533417334323,533,True
NAS100_v3.1_05M,NAS100,v3.1,05M,Jerk,Profit,0.014562698985208903,0.7372973665710677,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Jerk,ProfitPercent,0.01414477740567904,0.7445702544612934,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Jerk,IsWin,0.020021381656573987,0.6446619225964509,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Jerk,RRatio,0.01414477740567904,0.7445702544612934,533,False
NAS100_v3.1_05M,NAS100,v3.1,05M,Jerk,Pips,0.014576955283949377,0.7370496801075452,533,False
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Quality,Profit,-0.02581883995885344,0.7671353825333583,134,False
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Quality,ProfitPercent,-0.028070400370368457,0.7474848134207367,134,False
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Quality,IsWin,-0.01909277801343946,0.826677910044344,134,False
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Quality,RRatio,-0.028070400370368457,0.7474848134207367,134,False
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Quality,Pips,-0.06371961112663863,0.46450970731246316,134,False
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Confluence,Profit,0.15964632517767183,0.06539292896512572,134,False
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Confluence,ProfitPercent,0.15813611489916057,0.06801484758116857,134,False
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Confluence,IsWin,0.2739834691675791,0.0013581402859072207,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Confluence,RRatio,0.15813611489916057,0.06801484758116857,134,False
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Confluence,Pips,0.13768662516900726,0.1126324044978807,134,False
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Momentum,Profit,0.20979345243548367,0.014977528579431014,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Momentum,ProfitPercent,0.20804736998303203,0.01585588012690842,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Momentum,IsWin,0.19642625364596486,0.022923733490593918,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Momentum,RRatio,0.20804736998303203,0.01585588012690842,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Momentum,Pips,0.1747074991045432,0.043487846290262824,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Speed,Profit,0.19039114071111757,0.027560563382749592,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Speed,ProfitPercent,0.18776121926480643,0.029818664434816462,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Speed,IsWin,0.2067968511695874,0.016512150845463765,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Speed,RRatio,0.18776121926480643,0.029818664434816462,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Speed,Pips,0.1555404577317129,0.07272047538014531,134,False
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Acceleration,Profit,0.25772170665586835,0.0026440406760195384,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Acceleration,ProfitPercent,0.25552474457111646,0.002884056109543658,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Acceleration,IsWin,0.2790766585601516,0.001093059598148459,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Acceleration,RRatio,0.25552474457111646,0.002884056109543658,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Acceleration,Pips,0.22813166864019832,0.008022325798592715,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Jerk,Profit,0.2295142326168559,0.0076386713596521905,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Jerk,ProfitPercent,0.22522443682327034,0.008885143460884032,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Jerk,IsWin,0.15481035866557422,0.07409050642047947,134,False
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Jerk,RRatio,0.22522443682327034,0.008885143460884032,134,True
NAS100_v3.1.1_1H,NAS100,v3.1.1,1H,Jerk,Pips,0.21809407753150403,0.011356936493570583,134,True
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Quality,Profit,-0.004887568400082995,0.8942628825910838,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Quality,ProfitPercent,0.008637775832532385,0.8142879645682304,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Quality,IsWin,-0.0018451497911399373,0.9599816671176774,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Quality,RRatio,0.008637775832532385,0.8142879645682304,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Quality,Pips,0.006053998813119916,0.8692332856604459,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Confluence,Profit,0.08017611292351039,0.02897651745082185,742,True
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Confluence,ProfitPercent,0.062407499340370036,0.08936626372460717,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Confluence,IsWin,0.048716623217488195,0.1849805372430407,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Confluence,RRatio,0.062407499340370036,0.08936626372460717,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Confluence,Pips,0.056108783054872005,0.12675816995215933,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Momentum,Profit,-0.010056798928048599,0.7844773346025549,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Momentum,ProfitPercent,-0.00218882160718745,0.9525360689991846,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Momentum,IsWin,-0.029366020042480692,0.42443855329851815,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Momentum,RRatio,-0.0021888216071874605,0.9525360689991846,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Momentum,Pips,-0.025522069045785058,0.48758570008082064,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Speed,Profit,0.048440270545237224,0.18748807363138117,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Speed,ProfitPercent,0.07311553849718613,0.04648625711441543,742,True
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Speed,IsWin,0.04082101534559855,0.26676661709910343,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Speed,RRatio,0.07311553849718613,0.04648625711441543,742,True
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Speed,Pips,0.046750336051107066,0.20336863878611514,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Acceleration,Profit,0.0728776608646329,0.047204984727594365,742,True
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Acceleration,ProfitPercent,-0.008431785979727834,0.8186388807618895,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Acceleration,IsWin,0.012568156953281215,0.732509803152656,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Acceleration,RRatio,-0.008431785979727834,0.8186388807618895,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Acceleration,Pips,-0.006402822369035298,0.861772294402784,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Jerk,Profit,0.02667524318897953,0.4681275203660086,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Jerk,ProfitPercent,-0.00940317058757989,0.7981723435981227,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Jerk,IsWin,0.025307916605542286,0.49124658832301726,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Jerk,RRatio,-0.009403170587579886,0.7981723435981227,742,False
NAS100_v3.1.0_1H,NAS100,v3.1.0,1H,Jerk,Pips,0.004250086541826316,0.9079883286112238,742,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Quality,Profit,-0.010352194588263879,0.9583036405783331,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Quality,ProfitPercent,-0.010277868938442004,0.9586027540897034,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Quality,IsWin,0.017002967276707318,0.9315655875737568,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Quality,RRatio,-0.010277868938442004,0.9586027540897034,28,False
NAS100_v3.1_1H,NAS100,v3.1,1H,Quality,Pips,-0.010189977883752435,0.9589564668099859,28,False
