EAName,EAVersion,Timestamp,Symbol,Signal,SignalType,Quality,Confluence,Momentum,Speed,Acceleration,Entropy,Jerk,PhysicsScore,Zone,Regime,Price,Spread,HighThreshold,LowThreshold,Balance,Equity,OpenPositions,PhysicsPass,RejectReason,Hour,DayOfWeek
TP_Integrated_EA,4.13_PRODUCTION,2025.01.02 02:50,NAS100,1,BUY,89.0,80.0,124.8933818102019,3593.0797722971183,10039.203186183771,0.0,1289.4178973304633,96.5,BULL,NORMAL,21048.3,20.0,0.0,0.0,1000.0,1000.0,0,PASS,PASS,2,4
TP_Integrated_EA,4.13_PRODUCTION,2025.01.02 07:50,NAS100,1,BUY,86.33333333333334,100.0,247.68469728427982,8677.148484174058,1116.8384606482748,0.0,154.3888911286898,98.63333333333334,BULL,LOW,21195.1,20.0,0.0,0.0,1000.0,1001.45,1,PASS,PASS,7,4
TP_Integrated_EA,4.13_PRODUCTION,2025.01.02 14:15,NAS100,1,BUY,94.33333333333334,100.0,371.14937489620127,14745.791232073072,138.2215233399529,0.0,-530.2385017144362,79.7999475838298,BULL,NORMAL,21299.8,20.0,0.0,0.0,1000.0,1002.5,1,PASS,PASS,14,4
TP_Integrated_EA,4.13_PRODUCTION,2025.01.02 17:00,NAS100,1,BUY,89.0,80.0,417.9120335886401,5553.775030824343,21115.03435062438,0.0,4358.948125815074,96.5,BULL,HIGH,21217.6,20.0,0.0,0.0,1000.0,1001.67,1,PASS,PASS,17,4
TP_Integrated_EA,4.13_PRODUCTION,2025.01.02 19:05,NAS100,1,BUY,86.33333333333334,100.0,1437.1237089429449,5919.166661718894,982.9772623973562,0.0,85.97361526694678,97.58135447835436,BULL,NORMAL,21156.7,20.0,0.0,0.0,1000.0,1001.06,1,PASS,PASS,19,4
TP_Integrated_EA,4.13_PRODUCTION,2025.01.03 02:10,NAS100,1,BUY,91.66666666666667,100.0,132.0485737441273,6442.895372125955,6072.134167291028,0.0,876.3848402621115,99.16666666666667,BULL,LOW,21015.2,20.0,0.0,0.0,1000.0,999.61,1,PASS,PASS,2,5
TP_Integrated_EA,4.13_PRODUCTION,2025.01.03 07:45,NAS100,1,BUY,86.33333333333334,100.0,100.2111168960358,1236.823523195622,1224.7270428009072,0.0,-246.18646659306336,83.63333333333334,BULL,NORMAL,21048.2,20.0,0.0,0.0,1000.0,999.94,1,PASS,PASS,7,5
TP_Integrated_EA,4.13_PRODUCTION,2025.01.03 11:10,NAS100,1,BUY,86.33333333333334,100.0,147.44307623457868,5914.096199796771,5773.655344180016,0.0,822.5485137830856,98.63333333333334,BULL,NORMAL,21086.7,20.0,0.0,0.0,1000.0,1000.32,1,PASS,PASS,11,5
TP_Integrated_EA,4.13_PRODUCTION,2025.01.03 13:35,NAS100,1,BUY,86.33333333333334,100.0,129.07924347989172,1392.4663664571533,2012.2307172045782,0.0,-63.11971782740477,86.39935449627798,BULL,NORMAL,21061.7,20.0,0.0,0.0,1000.0,1000.07,1,PASS,PASS,13,5
TP_Integrated_EA,4.13_PRODUCTION,2025.01.03 13:55,NAS100,1,BUY,86.33333333333334,100.0,173.39380118121562,1982.3622270239684,387.52462856257546,0.0,-87.58489081341452,84.56446652232725,BULL,NORMAL,21067.7,20.0,0.0,0.0,1000.0,1000.13,1,PASS,PASS,13,5
TP_Integrated_EA,4.13_PRODUCTION,2025.01.06 02:45,NAS100,-1,SELL,86.33333333333334,80.0,-340.5674176713698,-6840.73414108369,-1265.917874618114,0.0,33.033056185587554,28.210812547252402,BEAR,NORMAL,21313.4,25.0,0.0,0.0,1000.0,1002.46,1,PASS,PASS,2,1
TP_Integrated_EA,4.13_PRODUCTION,2025.01.06 07:25,NAS100,1,BUY,86.33333333333334,100.0,121.99176557957006,6248.926177433884,2642.6530550822345,0.0,527.7122482325412,98.63333333333334,BULL,LOW,21366.7,20.0,0.0,0.0,1002.46,1001.91,1,PASS,PASS,7,1
TP_Integrated_EA,4.13_PRODUCTION,2025.01.06 19:45,NAS100,-1,SELL,99.66666666666667,80.0,-622.5527678312679,-10497.667764560609,-960.3096634368952,0.0,187.8298476588002,34.56666666666667,BEAR,NORMAL,21616.2,20.0,0.0,0.0,1001.91,1004.39,1,PASS,PASS,19,1
TP_Integrated_EA,4.13_PRODUCTION,2025.01.06 23:00,NAS100,1,BUY,86.33333333333333,100.0,668.0017189179362,4410.358749274074,2696.932385948139,0.0,775.5594708149092,98.63333333333333,BULL,NORMAL,21581.7,20.0,0.0,0.0,1004.39,1004.71,1,PASS,PASS,23,1
TP_Integrated_EA,4.13_PRODUCTION,2025.01.07 03:05,NAS100,-1,SELL,86.33333333333333,80.0,-87.21591926971526,-4081.255879555241,-3829.8879964262683,0.0,-705.2702712882427,19.19213938810469,BEAR,LOW,21587.0,20.0,0.0,0.0,1004.71,1004.66,1,PASS,PASS,3,2
TP_Integrated_EA,4.13_PRODUCTION,2025.01.07 05:50,NAS100,1,BUY,89.0,100.0,210.45810435624193,847.3862758774764,484.1490731429428,0.0,-317.3326059083539,83.9,BULL,NORMAL,21570.8,20.0,0.0,0.0,1004.66,1004.8,1,PASS,PASS,5,2
TP_Integrated_EA,4.13_PRODUCTION,2025.01.07 09:00,NAS100,-1,SELL,89.0,80.0,-313.3070735662355,-2812.175639145604,-219.5679592353781,0.0,175.88351438327751,33.5,BEAR,NORMAL,21520.8,20.0,0.0,0.0,1004.8,1004.28,1,PASS,PASS,9,2
TP_Integrated_EA,4.13_PRODUCTION,2025.01.07 09:10,NAS100,1,BUY,89.0,100.0,77.4305794859281,2920.215127655937,3586.980758624504,0.0,746.6236781509782,97.2072934614446,BULL,NORMAL,21549.8,20.0,0.0,0.0,1004.28,1003.97,1,PASS,PASS,9,2
TP_Integrated_EA,4.13_PRODUCTION,2025.01.07 23:00,NAS100,1,BUY,86.33333333333334,80.0,145.5866616695395,280.36136642638553,4465.211213585728,0.0,-88.77402795753483,82.07528123651822,BULL,NORMAL,21195.9,20.0,0.0,0.0,1003.97,1000.41,1,PASS,PASS,23,2
TP_Integrated_EA,4.13_PRODUCTION,2025.01.08 01:55,NAS100,1,BUY,89.0,100.0,235.5846067240255,4102.682035059864,272.06365221868055,0.0,-247.97064007443558,83.9,BULL,LOW,21221.0,20.0,0.0,0.0,1003.97,1000.62,1,PASS,PASS,1,3
TP_Integrated_EA,4.13_PRODUCTION,2025.01.08 07:45,NAS100,1,BUY,94.33333333333334,100.0,196.44319561454807,5488.984979710772,639.050555050967,0.0,-286.436501610335,84.43333333333334,BULL,NORMAL,21257.5,20.0,0.0,0.0,1003.97,1000.99,1,PASS,PASS,7,3
TP_Integrated_EA,4.13_PRODUCTION,2025.01.08 08:35,NAS100,-1,SELL,86.33333333333334,80.0,-101.03327352961715,-3885.1049933269705,-3399.47787752258,0.0,-171.54633393922802,18.233333333333334,BEAR,NORMAL,21243.2,20.0,0.0,0.0,1003.97,1000.84,1,PASS,PASS,8,3
TP_Integrated_EA,4.13_PRODUCTION,2025.01.08 09:55,NAS100,1,BUY,86.33333333333334,100.0,157.6114512944198,1043.9559581034898,1222.2867016606585,0.0,-496.45087553443705,83.63333333333334,BULL,NORMAL,21225.5,20.0,0.0,0.0,1000.84,1000.99,1,PASS,PASS,9,3
TP_Integrated_EA,4.13_PRODUCTION,2025.01.08 10:20,NAS100,1,BUY,86.33333333333334,100.0,318.8946489185406,5214.122636687455,1973.942095187164,0.0,46.95869046917781,94.65523511852167,BULL,NORMAL,21248.7,20.0,0.0,0.0,1000.99,1001.2,1,PASS,PASS,10,3
TP_Integrated_EA,4.13_PRODUCTION,2025.01.08 11:10,NAS100,1,BUY,86.33333333333334,100.0,364.88109931819344,6485.203193042449,1005.4106076971706,0.0,24.622636236806898,92.98003105109386,BULL,NORMAL,21266.7,20.0,0.0,0.0,1000.99,1001.38,1,PASS,PASS,11,3
TP_Integrated_EA,4.13_PRODUCTION,2025.01.08 12:00,NAS100,1,BUY,86.33333333333334,100.0,127.0680115870346,1405.2858739480382,1760.4828834259988,0.0,558.3290362651628,98.63333333333334,BULL,NORMAL,21266.2,20.0,0.0,0.0,1000.99,1001.38,1,PASS,PASS,12,3
