EAName,EAVersion,Timestamp,Symbol,Signal,SignalType,Quality,Confluence,Momentum,Speed,Acceleration,Entropy,Jerk,Zone,Regime,Price,Spread,HighThreshold,LowThreshold,Balance,Equity,OpenPositions,PhysicsPass,RejectReason,Hour,DayOfWeek
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 01:45,NAS100,-1,SELL,78.33333333333333,80.0,-191.43642238959933,-3695.9493995076396,-4516.074462705315,0.0,-290.93080268465184,AVOID,LOW,21081.1,20.0,0.0,0.0,1000.0,1000.0,0,PASS,PASS,1,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 02:00,NAS100,1,BUY,89.0,60.0,-291.2824584858076,-5007.379308188166,2051.4741461490958,0.0,1391.4591580617264,TRANSITION,LOW,21088.3,20.0,0.0,0.0,980.05,980.05,0,PASS,PASS,2,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 02:10,NAS100,1,BUY,89.0,60.0,-245.25664821591508,-7298.355880739825,513.1886216316828,0.0,683.5250973298199,TRANSITION,NORMAL,21055.3,20.0,0.0,0.0,957.71,957.71,0,PASS,PASS,2,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 02:35,NAS100,1,BUY,86.33333333333334,60.0,-343.01733639057517,-18081.86158931423,2801.044837870098,0.0,1617.5759202674908,TRANSITION,NORMAL,20992.8,20.0,0.0,0.0,934.73,934.73,0,PASS,PASS,2,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 02:50,NAS100,1,BUY,89.0,80.0,124.8933818102019,3593.0797722971183,10039.203186183771,0.0,1289.4178973304633,BULL,NORMAL,21048.3,20.0,0.0,0.0,916.08,916.08,0,PASS,PASS,2,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 03:25,NAS100,-1,SELL,86.33333333333334,80.0,448.11584722071984,11426.071408127063,-1242.4821460573246,0.0,-1011.8307537708529,TRANSITION,NORMAL,21115.8,20.0,0.0,0.0,897.78,897.78,0,PASS,PASS,3,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 03:40,NAS100,1,BUY,81.0,100.0,457.33765843577,8984.558617829587,425.0738307635978,0.0,182.908661332332,BULL,NORMAL,21125.3,20.0,0.0,0.0,879.83,879.83,0,PASS,PASS,3,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 03:55,NAS100,1,BUY,81.0,100.0,512.2699070983077,7987.095280896067,1874.863506715833,0.0,734.2115951422965,BULL,NORMAL,21130.6,20.0,0.0,0.0,861.58,861.58,0,PASS,PASS,3,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 05:25,NAS100,1,BUY,73.0,100.0,260.11704401083267,1553.9917029345324,1262.7616441694277,0.0,496.8021781956792,AVOID,LOW,21148.3,20.0,0.0,0.0,840.94,840.94,0,PASS,PASS,5,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 05:50,NAS100,-1,SELL,75.66666666666666,80.0,-126.79123054572335,-4276.975050753777,-3618.4894219425814,0.0,-540.0290946556888,AVOID,LOW,21124.8,20.0,0.0,0.0,875.55,875.55,0,PASS,PASS,5,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 06:05,NAS100,1,BUY,73.0,60.0,-135.55533489198265,-3070.3808073475366,2213.3078275086446,0.0,995.9583883608624,AVOID,LOW,21131.1,20.0,0.0,0.0,857.0,857.0,0,PASS,PASS,6,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 06:20,NAS100,1,BUY,78.33333333333333,60.0,-133.27509922725525,-2100.9996843640074,505.02335840054536,0.0,137.01482865940196,AVOID,LOW,21125.8,20.0,0.0,0.0,837.16,837.16,0,PASS,PASS,6,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 06:35,NAS100,1,BUY,73.0,60.0,-96.44465903029868,-225.50073925361198,2574.4513426968883,0.0,623.1006028182773,AVOID,LOW,21136.8,20.0,0.0,0.0,811.44,811.44,0,PASS,PASS,6,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 06:40,NAS100,1,BUY,75.66666666666666,100.0,129.16799469595645,1610.541195007304,2475.820230196791,0.0,369.197691483389,AVOID,LOW,21140.8,20.0,0.0,0.0,811.44,817.92,1,PASS,PASS,6,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 07:15,NAS100,1,BUY,73.0,100.0,230.74572625564133,4973.778117968432,575.3551849203253,0.0,27.09629301981397,AVOID,LOW,21164.3,20.0,0.0,0.0,843.84,843.84,0,PASS,PASS,7,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 07:50,NAS100,1,BUY,86.33333333333334,100.0,247.68469728427982,8677.148484174058,1116.8384606482748,0.0,154.3888911286898,BULL,LOW,21195.1,20.0,0.0,0.0,826.32,826.32,0,PASS,PASS,7,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 08:30,NAS100,-1,SELL,75.66666666666667,80.0,71.23252383487969,2047.2804014973462,-2314.5082374117233,0.0,-294.5904961577315,AVOID,NORMAL,21185.1,20.0,0.0,0.0,809.82,809.82,0,PASS,PASS,8,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 08:35,NAS100,1,BUY,75.66666666666666,100.0,230.5983492232519,4836.60019231667,1210.6781587774549,0.0,516.1059090634467,AVOID,NORMAL,21205.8,20.0,0.0,0.0,782.36,782.36,0,PASS,PASS,8,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 09:55,NAS100,1,BUY,81.0,60.0,-232.8137557219308,-6193.899402058365,861.6885871900589,0.0,777.6858221139642,TRANSITION,NORMAL,21178.3,20.0,0.0,0.0,766.76,766.76,0,PASS,PASS,9,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 10:05,NAS100,1,BUY,81.0,80.0,18.090553012475624,886.6049447818191,6023.763425012656,0.0,1473.1826477377467,BULL,NORMAL,21213.8,20.0,0.0,0.0,751.46,751.46,0,PASS,PASS,10,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 10:10,NAS100,1,BUY,83.66666666666667,100.0,144.96036867498398,6420.193183805983,7313.341200854229,0.0,1264.862409711408,BULL,NORMAL,21227.3,20.0,0.0,0.0,782.36,782.36,0,PASS,PASS,10,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 10:50,NAS100,1,BUY,81.0,60.0,-389.90464040162857,-5547.2746606559185,6027.935441358703,0.0,2526.6447636522153,TRANSITION,HIGH,21190.6,20.0,0.0,0.0,763.64,763.64,0,PASS,PASS,10,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 11:00,NAS100,1,BUY,78.33333333333333,80.0,217.63504871038577,1128.7088717601412,5125.177317862175,0.0,1006.5438873241438,AVOID,HIGH,21196.1,20.0,0.0,0.0,748.39,748.39,0,PASS,PASS,11,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 12:00,NAS100,1,BUY,81.0,100.0,748.884240058394,2677.2924867231723,3273.5950229062173,0.0,1086.8578636581578,BULL,HIGH,21223.6,20.0,0.0,0.0,730.45,730.45,0,PASS,PASS,12,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 12:35,NAS100,1,BUY,70.33333333333333,80.0,60.29342793085223,950.8863822573237,3703.2057080782056,0.0,1176.0226405246212,AVOID,NORMAL,21216.8,20.0,0.0,0.0,711.47,711.47,0,PASS,PASS,12,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 13:20,NAS100,1,BUY,70.33333333333333,100.0,191.3683498536502,1494.8706417727267,286.2183741633188,0.0,-83.17106777264326,AVOID,NORMAL,21224.6,20.0,0.0,0.0,697.27,697.27,0,PASS,PASS,13,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 13:45,NAS100,1,BUY,81.0,100.0,408.73159696399546,4638.103875324823,2065.059870292948,0.0,340.44375558902175,BULL,NORMAL,21246.1,20.0,0.0,0.0,683.37,683.37,0,PASS,PASS,13,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 14:10,NAS100,-1,SELL,89.0,80.0,350.77790577303733,14350.909988395795,-915.925895993023,0.0,-1104.5741406718191,TRANSITION,NORMAL,21296.3,20.0,0.0,0.0,712.58,712.58,0,PASS,PASS,14,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 14:15,NAS100,1,BUY,94.33333333333334,100.0,371.14937489620127,14745.791232073072,138.2215233399529,0.0,-530.2385017144362,BULL,NORMAL,21299.8,20.0,0.0,0.0,696.9,696.9,0,PASS,PASS,14,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 15:05,NAS100,1,BUY,81.0,60.0,-309.82061853273535,-5865.448414239903,1472.179507686069,0.0,1344.669600662066,TRANSITION,NORMAL,21264.3,20.0,0.0,0.0,682.44,682.44,0,PASS,PASS,15,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 15:30,NAS100,1,BUY,78.33333333333334,60.0,-281.127488860279,-5918.750164228063,390.3416863259872,0.0,342.33756730875734,AVOID,NORMAL,21245.1,20.0,0.0,0.0,668.84,668.84,0,PASS,PASS,15,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 15:45,NAS100,1,BUY,83.66666666666667,100.0,233.42852181917345,3551.822127087906,4187.07098091624,0.0,493.2311596034603,BULL,NORMAL,21280.8,20.0,0.0,0.0,652.02,652.02,0,PASS,PASS,15,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 16:25,NAS100,1,BUY,89.0,60.0,-456.8961761066848,-11481.311707408675,4631.6709186019125,0.0,2125.0560042578527,TRANSITION,NORMAL,21180.3,20.0,0.0,0.0,637.2,637.2,0,PASS,PASS,16,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 16:50,NAS100,1,BUY,94.33333333333334,60.0,-692.0999244255761,-20886.963684064805,5215.8040954863645,0.0,2189.401444145996,TRANSITION,HIGH,21128.2,20.0,0.0,0.0,623.23,623.23,0,PASS,PASS,16,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 17:00,NAS100,1,BUY,89.0,80.0,417.9120335886401,5553.775030824343,21115.03435062438,0.0,4358.948125815074,BULL,HIGH,21217.6,20.0,0.0,0.0,599.57,599.57,0,PASS,PASS,17,4
TP_Integrated_EA,3.10_PRODUCTION,2025.01.02 17:45,NAS100,1,BUY,83.66666666666667,60.0,-1668.6084694814374,-13869.131625973521,3737.5105875868758,0.0,2693.4182750923223,TRANSITION,HIGH,21061.4,20.0,0.0,0.0,629.45,629.45,0,PASS,PASS,17,4
