EAName,EAVersion,Timestamp,Symbol,Signal,SignalType,Quality,Confluence,Momentum,Speed,Acceleration,Entropy,Jerk,Zone,Regime,Price,Spread,HighThreshold,LowThreshold,Balance,Equity,OpenPositions,PhysicsPass,RejectReason,Hour,DayOfWeek
TP_Integrated_EA,3.1,2025.01.02 02:00,NAS100,0,NONE,78.33333333333333,100.0,1388.197964176942,4945.20433437993,1259.0619007863477,0.0,-27.19870984013005,AVOID,NORMAL,21088.3,20.0,0.0,0.0,1000.0,1000.0,0,PASS,PASS,2,4
TP_Integrated_EA,3.1,2025.01.02 02:15,NAS100,0,NONE,75.66666666666666,60.0,61.278642784631415,-2003.3775491986446,-7626.041332346947,0.0,-2235.1772696694143,AVOID,NORMAL,21033.8,25.0,0.0,0.0,1000.0,1000.0,0,REJECT,Quality/Confluence too low,2,4
TP_Integrated_EA,3.1,2025.01.02 02:30,NAS100,0,NONE,81.0,80.0,-549.5642381435788,-10627.330657158087,-9640.703719894726,0.0,-1785.8422862030138,AVOID,NORMAL,20965.6,20.0,0.0,0.0,1000.0,1000.0,0,PASS,PASS,2,4
TP_Integrated_EA,3.1,2025.01.02 02:45,NAS100,0,NONE,83.66666666666666,80.0,-948.7994377867332,-7375.768181069802,-227.6834984144974,0.0,952.856855429343,AVOID,NORMAL,21039.5,20.0,0.0,0.0,1000.0,1000.0,0,PASS,PASS,2,4
TP_Integrated_EA,3.1,2025.01.02 12:00,NAS100,0,NONE,67.66666666666667,100.0,662.5071940437032,5908.7616825948735,790.0076565725749,0.0,-274.9808514736617,AVOID,NORMAL,21223.6,20.0,0.0,0.0,1000.0,1000.0,0,REJECT,Quality/Confluence too low,12,4
TP_Integrated_EA,3.1,2025.01.02 12:15,NAS100,0,NONE,59.666666666666664,60.0,298.6831293624705,1504.3722873443946,-4025.4364089241017,0.0,-1301.6264568549288,AVOID,NORMAL,21191.3,20.0,0.0,0.0,1000.0,1000.0,0,REJECT,Quality/Confluence too low,12,4
TP_Integrated_EA,3.1,2025.01.02 12:30,NAS100,0,NONE,59.666666666666664,60.0,231.17875290831336,1394.0821447296375,-1751.157269236544,0.0,-407.88529579206465,AVOID,NORMAL,21207.1,20.0,0.0,0.0,1000.0,1000.0,0,REJECT,Quality/Confluence too low,12,4
TP_Integrated_EA,3.1,2025.01.02 12:45,NAS100,0,NONE,57.0,60.0,299.60696133614545,2029.6418394374516,-50.38995058683781,0.0,104.00270764573149,AVOID,NORMAL,21218.3,20.0,0.0,0.0,1000.0,1000.0,0,REJECT,Quality/Confluence too low,12,4
TP_Integrated_EA,3.1,2025.01.02 19:00,NAS100,0,NONE,75.66666666666666,60.0,-1175.6855159095167,-3012.694748778613,4727.060095437866,0.0,504.4689111193718,AVOID,HIGH,21138.1,20.0,0.0,0.0,1000.0,1000.0,0,REJECT,Quality/Confluence too low,19,4
TP_Integrated_EA,3.1,2025.01.02 19:15,NAS100,0,NONE,75.66666666666666,80.0,222.5289432267067,800.6220810902951,5752.013574938862,0.0,603.9123000575785,AVOID,HIGH,21147.1,20.0,0.0,0.0,1000.0,1000.0,0,PASS,PASS,19,4
TP_Integrated_EA,3.1,2025.01.02 19:30,NAS100,0,NONE,73.0,80.0,-3148.2568959597866,-9443.104698072293,-6587.825141097073,0.0,-2238.379596444739,AVOID,HIGH,20969.8,20.0,0.0,0.0,1000.0,1000.0,0,PASS,PASS,19,4
TP_Integrated_EA,3.1,2025.01.02 19:45,NAS100,0,NONE,73.0,80.0,-3814.8079306398577,-18358.717748023155,-9444.988329545777,0.0,-1973.1857856943893,AVOID,HIGH,20874.7,20.0,0.0,0.0,1000.0,1000.0,0,PASS,PASS,19,4
TP_Integrated_EA,3.1,2025.01.02 23:00,NAS100,0,NONE,75.66666666666666,100.0,2953.7832214303176,8700.168436362736,4821.008675411812,0.0,327.95284790141005,AVOID,NORMAL,20994.6,25.0,0.0,0.0,1000.0,1000.0,0,PASS,PASS,23,4
TP_Integrated_EA,3.1,2025.01.02 23:15,NAS100,0,NONE,73.0,80.0,2052.4171476202114,7991.590564471035,-2108.9865061923747,0.0,-1821.5036002326683,AVOID,NORMAL,21008.3,20.0,0.0,0.0,1000.0,1000.0,0,PASS,PASS,23,4
